,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,100000.0
2025-11-24 09:50:00-05:00,99997.33081086974
2025-11-24 09:51:00-05:00,99999.96659038524
2025-11-24 09:52:00-05:00,99997.29346183942
2025-11-24 09:53:00-05:00,100004.28361920035
2025-11-24 09:54:00-05:00,100004.28361920035
2025-11-24 09:55:00-05:00,100004.28361920035
2025-11-24 09:56:00-05:00,100001.61970863861
2025-11-24 09:57:00-05:00,99996.43731089163
2025-11-24 09:58:00-05:00,99996.43731089163
2025-11-24 09:59:00-05:00,99993.76991291542
2025-11-24 10:00:00-05:00,99995.96417431909
2025-11-24 10:01:00-05:00,99995.96417431909
2025-11-24 10:02:00-05:00,99995.96417431909
2025-11-24 10:03:00-05:00,99995.96417431909
2025-11-24 10:04:00-05:00,99995.96417431909
2025-11-24 10:05:00-05:00,99995.96417431909
2025-11-24 10:06:00-05:00,99995.96417431909
2025-11-24 10:07:00-05:00,99995.96417431909
2025-11-24 10:08:00-05:00,99995.96417431909
2025-11-24 10:09:00-05:00,99995.96417431909
2025-11-24 10:10:00-05:00,99993.30457417446
2025-11-24 10:11:00-05:00,99989.02100483852
2025-11-24 10:12:00-05:00,99978.18518940883
2025-11-24 10:13:00-05:00,99967.74488179164
2025-11-24 10:14:00-05:00,99953.7054530807
2025-11-24 10:15:00-05:00,99957.22315052642
2025-11-24 10:16:00-05:00,99957.22315052642
2025-11-24 10:17:00-05:00,99957.22315052642
2025-11-24 10:18:00-05:00,99954.56059596792
2025-11-24 10:19:00-05:00,99945.49248073355
2025-11-24 10:20:00-05:00,99946.49971410219
2025-11-24 10:21:00-05:00,99946.49971410219
2025-11-24 10:22:00-05:00,99946.49971410219
2025-11-24 10:23:00-05:00,99946.49971410219
2025-11-24 10:24:00-05:00,99946.49971410219
2025-11-24 10:25:00-05:00,99946.49971410219
2025-11-24 10:26:00-05:00,99946.49971410219
2025-11-24 10:27:00-05:00,99946.49971410219
2025-11-24 10:28:00-05:00,99943.83604565222
2025-11-24 10:29:00-05:00,99940.27283904058
2025-11-24 10:30:00-05:00,99937.61264913653
2025-11-24 10:31:00-05:00,99938.36828790502
2025-11-24 10:32:00-05:00,99938.36828790502
2025-11-24 10:33:00-05:00,99938.36828790502
2025-11-24 10:34:00-05:00,99935.70229470913
2025-11-24 10:35:00-05:00,99928.3548663961
2025-11-24 10:36:00-05:00,99928.3548663961
2025-11-24 10:37:00-05:00,99925.68993861022
2025-11-24 10:38:00-05:00,99921.58509076334
2025-11-24 10:39:00-05:00,99921.58509076334
2025-11-24 10:40:00-05:00,99921.58509076334
2025-11-24 10:41:00-05:00,99918.9160943765
2025-11-24 10:42:00-05:00,99909.55684144681
2025-11-24 10:43:00-05:00,99909.40626850509
2025-11-24 10:44:00-05:00,99906.73717545092
2025-11-24 10:45:00-05:00,99908.23869031316
2025-11-24 10:46:00-05:00,99908.90190471018
2025-11-24 10:47:00-05:00,99908.90190471018
2025-11-24 10:48:00-05:00,99906.23387706601
2025-11-24 10:49:00-05:00,99919.60735217386
2025-11-24 10:50:00-05:00,99915.37160527757
2025-11-24 10:51:00-05:00,99915.37160527757
2025-11-24 10:52:00-05:00,99912.70100308965
2025-11-24 10:53:00-05:00,99909.46256057256
2025-11-24 10:54:00-05:00,99909.46256057256
2025-11-24 10:55:00-05:00,99906.79288633191
2025-11-24 10:56:00-05:00,99910.31912552705
2025-11-24 10:57:00-05:00,99907.93798063001
2025-11-24 10:58:00-05:00,99907.93798063001
2025-11-24 10:59:00-05:00,99907.93798063001
2025-11-24 11:00:00-05:00,99907.93798063001
2025-11-24 11:01:00-05:00,99905.26540016136
2025-11-24 11:02:00-05:00,99896.83113792763
2025-11-24 11:03:00-05:00,99896.83113792763
2025-11-24 11:04:00-05:00,99896.83113792763
2025-11-24 11:05:00-05:00,99896.83113792763
2025-11-24 11:06:00-05:00,99894.15274529859
2025-11-24 11:07:00-05:00,99883.35318475172
2025-11-24 11:08:00-05:00,99877.20476698967
2025-11-24 11:09:00-05:00,99877.20476698967
2025-11-24 11:10:00-05:00,99877.20476698967
2025-11-24 11:11:00-05:00,99877.20476698967
2025-11-24 11:12:00-05:00,99877.20476698967
2025-11-24 11:13:00-05:00,99877.20476698967
2025-11-24 11:14:00-05:00,99877.20476698967
2025-11-24 11:15:00-05:00,99877.20476698967
2025-11-24 11:16:00-05:00,99874.52220909233
2025-11-24 11:17:00-05:00,99873.02695370142
2025-11-24 11:18:00-05:00,99870.34139290875
2025-11-24 11:19:00-05:00,99873.09408839443
2025-11-24 11:20:00-05:00,99873.09408839443
2025-11-24 11:21:00-05:00,99873.09408839443
2025-11-24 11:22:00-05:00,99873.09408839443
2025-11-24 11:23:00-05:00,99873.09408839443
2025-11-24 11:24:00-05:00,99870.41114323652
2025-11-24 11:25:00-05:00,99865.20971089335
2025-11-24 11:26:00-05:00,99865.20971089335
2025-11-24 11:27:00-05:00,99865.20971089335
2025-11-24 11:28:00-05:00,99865.20971089335
2025-11-24 11:29:00-05:00,99865.20971089335
2025-11-24 11:30:00-05:00,99865.20971089335
2025-11-24 11:31:00-05:00,99865.20971089335
2025-11-24 11:32:00-05:00,99862.52744358925
2025-11-24 11:33:00-05:00,99856.89235559036
2025-11-24 11:34:00-05:00,99856.89235559036
2025-11-24 11:35:00-05:00,99856.89235559036
2025-11-24 11:36:00-05:00,99856.89235559036
2025-11-24 11:37:00-05:00,99856.89235559036
2025-11-24 11:38:00-05:00,99854.21086339865
2025-11-24 11:39:00-05:00,99852.44616125645
2025-11-24 11:40:00-05:00,99848.72208979091
2025-11-24 11:41:00-05:00,99848.72208979091
2025-11-24 11:42:00-05:00,99848.72208979091
2025-11-24 11:43:00-05:00,99848.72208979091
2025-11-24 11:44:00-05:00,99848.72208979091
2025-11-24 11:45:00-05:00,99846.04006459858
2025-11-24 11:46:00-05:00,99843.17891407195
2025-11-24 11:47:00-05:00,99843.17891407195
2025-11-24 11:48:00-05:00,99843.17891407195
2025-11-24 11:49:00-05:00,99843.17891407195
2025-11-24 11:50:00-05:00,99840.49958107964
2025-11-24 11:51:00-05:00,99830.88434670464
2025-11-24 11:52:00-05:00,99836.32460391286
2025-11-24 11:53:00-05:00,99831.8438085447
2025-11-24 11:54:00-05:00,99831.8438085447
2025-11-24 11:55:00-05:00,99831.8438085447
2025-11-24 11:56:00-05:00,99829.16250998326
2025-11-24 11:57:00-05:00,99830.0241566842
2025-11-24 11:58:00-05:00,99830.0241566842
2025-11-24 11:59:00-05:00,99827.34217997335
2025-11-24 12:00:00-05:00,99823.76018087729
2025-11-24 12:01:00-05:00,99823.76018087729
2025-11-24 12:02:00-05:00,99821.07975409557
2025-11-24 12:03:00-05:00,99818.39932731385
2025-11-24 12:04:00-05:00,99818.39932731385
2025-11-24 12:05:00-05:00,99815.71764119623
2025-11-24 12:06:00-05:00,99814.11620172653
2025-11-24 12:07:00-05:00,99814.11620172653
2025-11-24 12:08:00-05:00,99814.11620172653
2025-11-24 12:09:00-05:00,99814.11620172653
2025-11-24 12:10:00-05:00,99814.11620172653
2025-11-24 12:11:00-05:00,99814.11620172653
2025-11-24 12:12:00-05:00,99814.11620172653
2025-11-24 12:13:00-05:00,99814.11620172653
2025-11-24 12:14:00-05:00,99814.11620172653
2025-11-24 12:15:00-05:00,99814.11620172653
2025-11-24 12:16:00-05:00,99811.43441894157
2025-11-24 12:17:00-05:00,99809.47243427909
2025-11-24 12:18:00-05:00,99809.47243427909
2025-11-24 12:19:00-05:00,99806.7903609009
2025-11-24 12:20:00-05:00,99800.70613238527
2025-11-24 12:21:00-05:00,99796.9420280292
2025-11-24 12:22:00-05:00,99796.9420280292
2025-11-24 12:23:00-05:00,99794.25949259888
2025-11-24 12:24:00-05:00,99791.6604307953
2025-11-24 12:25:00-05:00,99791.6604307953
2025-11-24 12:26:00-05:00,99788.97918071534
2025-11-24 12:27:00-05:00,99785.21826517393
2025-11-24 12:28:00-05:00,99785.21826517393
2025-11-24 12:29:00-05:00,99782.5378383922
2025-11-24 12:30:00-05:00,99779.65722315783
2025-11-24 12:31:00-05:00,99776.81682719217
2025-11-24 12:32:00-05:00,99775.0365197586
2025-11-24 12:33:00-05:00,99775.0365197586
2025-11-24 12:34:00-05:00,99775.0365197586
2025-11-24 12:35:00-05:00,99772.3550275669
2025-11-24 12:36:00-05:00,99767.51304207933
2025-11-24 12:37:00-05:00,99764.83176480245
2025-11-24 12:38:00-05:00,99761.14990234208
2025-11-24 12:39:00-05:00,99758.46802259417
2025-11-24 12:40:00-05:00,99755.06194901007
2025-11-24 12:41:00-05:00,99752.38123163511
2025-11-24 12:42:00-05:00,99750.43470618341
2025-11-24 12:43:00-05:00,99748.83001929676
2025-11-24 12:44:00-05:00,99748.83001929676
2025-11-24 12:45:00-05:00,99748.83001929676
2025-11-24 12:46:00-05:00,99748.83001929676
2025-11-24 12:47:00-05:00,99748.83001929676
2025-11-24 12:48:00-05:00,99748.83001929676
2025-11-24 12:49:00-05:00,99748.83001929676
2025-11-24 12:50:00-05:00,99748.83001929676
2025-11-24 12:51:00-05:00,99748.83001929676
2025-11-24 12:52:00-05:00,99748.83001929676
2025-11-24 12:53:00-05:00,99746.14721928765
2025-11-24 12:54:00-05:00,99741.12370171997
2025-11-24 12:55:00-05:00,99741.12370171997
2025-11-24 12:56:00-05:00,99738.43930330026
2025-11-24 12:57:00-05:00,99735.25038305574
2025-11-24 12:58:00-05:00,99732.5663721922
2025-11-24 12:59:00-05:00,99730.9626079766
2025-11-24 13:00:00-05:00,99730.9626079766
2025-11-24 13:01:00-05:00,99728.27753170306
2025-11-24 13:02:00-05:00,99724.54561422009
2025-11-24 13:03:00-05:00,99721.8608285398
2025-11-24 13:04:00-05:00,99716.67268389309
2025-11-24 13:05:00-05:00,99713.98513742922
2025-11-24 13:06:00-05:00,99711.83716482509
2025-11-24 13:07:00-05:00,99711.83716482509
2025-11-24 13:08:00-05:00,99711.83716482509
2025-11-24 13:09:00-05:00,99709.14986047299
2025-11-24 13:10:00-05:00,99710.06180710476
2025-11-24 13:11:00-05:00,99710.06180710476
2025-11-24 13:12:00-05:00,99707.37077322642
2025-11-24 13:13:00-05:00,99696.39103689829
2025-11-24 13:14:00-05:00,99691.19091307349
2025-11-24 13:15:00-05:00,99688.49944345308
2025-11-24 13:16:00-05:00,99684.00889750932
2025-11-24 13:17:00-05:00,99684.00889750932
2025-11-24 13:18:00-05:00,99684.00889750932
2025-11-24 13:19:00-05:00,99684.00889750932
2025-11-24 13:20:00-05:00,99681.31413440034
2025-11-24 13:21:00-05:00,99678.07869850317
2025-11-24 13:22:00-05:00,99678.07869850317
2025-11-24 13:23:00-05:00,99678.07869850317
2025-11-24 13:24:00-05:00,99675.38500080419
2025-11-24 13:25:00-05:00,99668.19225178075
2025-11-24 13:26:00-05:00,99667.83885566982
2025-11-24 13:27:00-05:00,99663.3626320869
2025-11-24 13:28:00-05:00,99663.3626320869
2025-11-24 13:29:00-05:00,99663.3626320869
2025-11-24 13:30:00-05:00,99660.6720342462
2025-11-24 13:31:00-05:00,99663.2066202789
2025-11-24 13:32:00-05:00,99660.33366705987
2025-11-24 13:33:00-05:00,99660.33366705987
2025-11-24 13:34:00-05:00,99660.33366705987
2025-11-24 13:35:00-05:00,99660.33366705987
2025-11-24 13:36:00-05:00,99660.33366705987
2025-11-24 13:37:00-05:00,99660.33366705987
2025-11-24 13:38:00-05:00,99660.33366705987
2025-11-24 13:39:00-05:00,99660.33366705987
2025-11-24 13:40:00-05:00,99660.33366705987
2025-11-24 13:41:00-05:00,99657.6404535844
2025-11-24 13:42:00-05:00,99653.88522401534
2025-11-24 13:43:00-05:00,99653.88522401534
