,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,100000.0
2025-11-24 09:50:00-05:00,99997.79700277951
2025-11-24 09:51:00-05:00,99998.24602219033
2025-11-24 09:52:00-05:00,99996.03976489809
2025-11-24 09:53:00-05:00,99996.92973002227
2025-11-24 09:54:00-05:00,99996.92973002227
2025-11-24 09:55:00-05:00,99996.92973002227
2025-11-24 09:56:00-05:00,99994.73110109243
2025-11-24 09:57:00-05:00,99991.27345060243
2025-11-24 09:58:00-05:00,99991.27345060243
2025-11-24 09:59:00-05:00,99989.07193565529
2025-11-24 10:00:00-05:00,99989.30167877646
2025-11-24 10:01:00-05:00,99989.30167877646
2025-11-24 10:02:00-05:00,99989.30167877646
2025-11-24 10:03:00-05:00,99989.30167877646
2025-11-24 10:04:00-05:00,99989.30167877646
2025-11-24 10:05:00-05:00,99989.30167877646
2025-11-24 10:06:00-05:00,99989.30167877646
2025-11-24 10:07:00-05:00,99989.30167877646
2025-11-24 10:08:00-05:00,99989.30167877646
2025-11-24 10:09:00-05:00,99989.30167877646
2025-11-24 10:10:00-05:00,99987.1066169415
2025-11-24 10:11:00-05:00,99984.96483227353
2025-11-24 10:12:00-05:00,99979.54692455869
2025-11-24 10:13:00-05:00,99974.32677075009
2025-11-24 10:14:00-05:00,99967.30705639462
2025-11-24 10:15:00-05:00,99966.46269515307
2025-11-24 10:16:00-05:00,99966.46269515307
2025-11-24 10:17:00-05:00,99966.46269515307
2025-11-24 10:18:00-05:00,99964.2651883866
2025-11-24 10:19:00-05:00,99959.73113076942
2025-11-24 10:20:00-05:00,99959.3689938887
2025-11-24 10:21:00-05:00,99959.3689938887
2025-11-24 10:22:00-05:00,99959.3689938887
2025-11-24 10:23:00-05:00,99959.3689938887
2025-11-24 10:24:00-05:00,99959.3689938887
2025-11-24 10:25:00-05:00,99959.3689938887
2025-11-24 10:26:00-05:00,99959.3689938887
2025-11-24 10:27:00-05:00,99959.3689938887
2025-11-24 10:28:00-05:00,99957.17056531896
2025-11-24 10:29:00-05:00,99954.52244697261
2025-11-24 10:30:00-05:00,99952.32689708097
2025-11-24 10:31:00-05:00,99951.83896038258
2025-11-24 10:32:00-05:00,99951.83896038258
2025-11-24 10:33:00-05:00,99951.83896038258
2025-11-24 10:34:00-05:00,99949.63860796441
2025-11-24 10:35:00-05:00,99945.0971254895
2025-11-24 10:36:00-05:00,99945.0971254895
2025-11-24 10:37:00-05:00,99942.89765475364
2025-11-24 10:38:00-05:00,99939.97835093216
2025-11-24 10:39:00-05:00,99939.97835093216
2025-11-24 10:40:00-05:00,99939.97835093216
2025-11-24 10:41:00-05:00,99937.7755132169
2025-11-24 10:42:00-05:00,99933.09588675205
2025-11-24 10:43:00-05:00,99932.15165798915
2025-11-24 10:44:00-05:00,99929.94874027664
2025-11-24 10:45:00-05:00,99928.96154902186
2025-11-24 10:46:00-05:00,99928.42447566132
2025-11-24 10:47:00-05:00,99928.42447566132
2025-11-24 10:48:00-05:00,99926.22243963112
2025-11-24 10:49:00-05:00,99931.16983297718
2025-11-24 10:50:00-05:00,99926.44394279907
2025-11-24 10:51:00-05:00,99926.44394279907
2025-11-24 10:52:00-05:00,99924.2397761997
2025-11-24 10:53:00-05:00,99921.75173949714
2025-11-24 10:54:00-05:00,99921.75173949714
2025-11-24 10:55:00-05:00,99919.54834082251
2025-11-24 10:56:00-05:00,99919.57277369169
2025-11-24 10:57:00-05:00,99915.77565992037
2025-11-24 10:58:00-05:00,99915.77565992037
2025-11-24 10:59:00-05:00,99915.77565992037
2025-11-24 11:00:00-05:00,99915.77565992037
2025-11-24 11:01:00-05:00,99913.56985619056
2025-11-24 11:02:00-05:00,99908.48270389561
2025-11-24 11:03:00-05:00,99908.48270389561
2025-11-24 11:04:00-05:00,99908.48270389561
2025-11-24 11:05:00-05:00,99908.48270389561
2025-11-24 11:06:00-05:00,99906.27209030007
2025-11-24 11:07:00-05:00,99900.87231002664
2025-11-24 11:08:00-05:00,99896.92542651984
2025-11-24 11:09:00-05:00,99896.92542651984
2025-11-24 11:10:00-05:00,99896.92542651984
2025-11-24 11:11:00-05:00,99896.92542651984
2025-11-24 11:12:00-05:00,99896.92542651984
2025-11-24 11:13:00-05:00,99896.92542651984
2025-11-24 11:14:00-05:00,99896.92542651984
2025-11-24 11:15:00-05:00,99896.92542651984
2025-11-24 11:16:00-05:00,99894.71136594765
2025-11-24 11:17:00-05:00,99893.09085195484
2025-11-24 11:18:00-05:00,99890.8743063302
2025-11-24 11:19:00-05:00,99889.63221421167
2025-11-24 11:20:00-05:00,99889.63221421167
2025-11-24 11:21:00-05:00,99889.63221421167
2025-11-24 11:22:00-05:00,99889.63221421167
2025-11-24 11:23:00-05:00,99889.63221421167
2025-11-24 11:24:00-05:00,99887.41783316116
2025-11-24 11:25:00-05:00,99883.94443055049
2025-11-24 11:26:00-05:00,99883.94443055049
2025-11-24 11:27:00-05:00,99883.94443055049
2025-11-24 11:28:00-05:00,99883.94443055049
2025-11-24 11:29:00-05:00,99883.94443055049
2025-11-24 11:30:00-05:00,99883.94443055049
2025-11-24 11:31:00-05:00,99883.94443055049
2025-11-24 11:32:00-05:00,99881.73061045934
2025-11-24 11:33:00-05:00,99878.0401198371
2025-11-24 11:34:00-05:00,99878.0401198371
2025-11-24 11:35:00-05:00,99878.0401198371
2025-11-24 11:36:00-05:00,99878.0401198371
2025-11-24 11:37:00-05:00,99878.0401198371
2025-11-24 11:38:00-05:00,99875.82694119186
2025-11-24 11:39:00-05:00,99873.19909039454
2025-11-24 11:40:00-05:00,99868.71994728567
2025-11-24 11:41:00-05:00,99868.71994728567
2025-11-24 11:42:00-05:00,99868.71994728567
2025-11-24 11:43:00-05:00,99868.71994728567
2025-11-24 11:44:00-05:00,99868.71994728567
2025-11-24 11:45:00-05:00,99866.50632755464
2025-11-24 11:46:00-05:00,99864.20312937307
2025-11-24 11:47:00-05:00,99864.20312937307
2025-11-24 11:48:00-05:00,99864.20312937307
2025-11-24 11:49:00-05:00,99864.20312937307
2025-11-24 11:50:00-05:00,99861.9917375779
2025-11-24 11:51:00-05:00,99857.1841203904
2025-11-24 11:52:00-05:00,99858.16058962981
2025-11-24 11:53:00-05:00,99855.04820355811
2025-11-24 11:54:00-05:00,99855.04820355811
2025-11-24 11:55:00-05:00,99855.04820355811
2025-11-24 11:56:00-05:00,99852.83518515203
2025-11-24 11:57:00-05:00,99852.39395155884
2025-11-24 11:58:00-05:00,99852.39395155884
2025-11-24 11:59:00-05:00,99850.18037194875
2025-11-24 12:00:00-05:00,99847.51670184183
2025-11-24 12:01:00-05:00,99847.51670184183
2025-11-24 12:02:00-05:00,99845.3044048789
2025-11-24 12:03:00-05:00,99843.09210791597
2025-11-24 12:04:00-05:00,99843.09210791597
2025-11-24 12:05:00-05:00,99840.87876878693
2025-11-24 12:06:00-05:00,99839.2056481663
2025-11-24 12:07:00-05:00,99839.2056481663
2025-11-24 12:08:00-05:00,99839.2056481663
2025-11-24 12:09:00-05:00,99839.2056481663
2025-11-24 12:10:00-05:00,99839.2056481663
2025-11-24 12:11:00-05:00,99839.2056481663
2025-11-24 12:12:00-05:00,99839.2056481663
2025-11-24 12:13:00-05:00,99839.2056481663
2025-11-24 12:14:00-05:00,99839.2056481663
2025-11-24 12:15:00-05:00,99839.2056481663
2025-11-24 12:16:00-05:00,99836.99222904001
2025-11-24 12:17:00-05:00,99835.13877239898
2025-11-24 12:18:00-05:00,99835.13877239898
2025-11-24 12:19:00-05:00,99832.92511279162
2025-11-24 12:20:00-05:00,99829.88299853381
2025-11-24 12:21:00-05:00,99825.38260148518
2025-11-24 12:22:00-05:00,99825.38260148518
2025-11-24 12:23:00-05:00,99823.16855950562
2025-11-24 12:24:00-05:00,99820.9962469803
2025-11-24 12:25:00-05:00,99820.9962469803
2025-11-24 12:26:00-05:00,99818.78326869516
2025-11-24 12:27:00-05:00,99816.03055286374
2025-11-24 12:28:00-05:00,99816.03055286374
2025-11-24 12:29:00-05:00,99813.81825590081
2025-11-24 12:30:00-05:00,99812.37794828363
2025-11-24 12:31:00-05:00,99809.21364667753
2025-11-24 12:32:00-05:00,99807.45152045332
2025-11-24 12:33:00-05:00,99807.45152045332
2025-11-24 12:34:00-05:00,99807.45152045332
2025-11-24 12:35:00-05:00,99805.23834180809
2025-11-24 12:36:00-05:00,99801.94472614604
2025-11-24 12:37:00-05:00,99799.73172535404
2025-11-24 12:38:00-05:00,99797.01852018292
2025-11-24 12:39:00-05:00,99794.80502081472
2025-11-24 12:40:00-05:00,99792.22936071709
2025-11-24 12:41:00-05:00,99790.01682327311
2025-11-24 12:42:00-05:00,99787.29860074821
2025-11-24 12:43:00-05:00,99785.6238722993
2025-11-24 12:44:00-05:00,99785.6238722993
2025-11-24 12:45:00-05:00,99785.6238722993
2025-11-24 12:46:00-05:00,99785.6238722993
2025-11-24 12:47:00-05:00,99785.6238722993
2025-11-24 12:48:00-05:00,99785.6238722993
2025-11-24 12:49:00-05:00,99785.6238722993
2025-11-24 12:50:00-05:00,99785.6238722993
2025-11-24 12:51:00-05:00,99785.6238722993
2025-11-24 12:52:00-05:00,99785.6238722993
2025-11-24 12:53:00-05:00,99783.409611367
2025-11-24 12:54:00-05:00,99780.02478540632
2025-11-24 12:55:00-05:00,99780.02478540632
2025-11-24 12:56:00-05:00,99777.8092017059
2025-11-24 12:57:00-05:00,99773.59587324706
2025-11-24 12:58:00-05:00,99771.38061026958
2025-11-24 12:59:00-05:00,99769.70556580051
2025-11-24 13:00:00-05:00,99769.70556580051
2025-11-24 13:01:00-05:00,99767.48942114072
2025-11-24 13:02:00-05:00,99763.00378504337
2025-11-24 13:03:00-05:00,99760.78788086463
2025-11-24 13:04:00-05:00,99757.3200766227
2025-11-24 13:05:00-05:00,99755.10188775162
2025-11-24 13:06:00-05:00,99753.15353335421
2025-11-24 13:07:00-05:00,99753.15353335421
2025-11-24 13:08:00-05:00,99753.15353335421
2025-11-24 13:09:00-05:00,99750.93554484325
2025-11-24 13:10:00-05:00,99750.5168645105
2025-11-24 13:11:00-05:00,99750.5168645105
2025-11-24 13:12:00-05:00,99748.29578962213
2025-11-24 13:13:00-05:00,99742.80592145807
2025-11-24 13:14:00-05:00,99737.57704390305
2025-11-24 13:15:00-05:00,99735.35560841541
2025-11-24 13:16:00-05:00,99732.23479337455
2025-11-24 13:17:00-05:00,99732.23479337455
2025-11-24 13:18:00-05:00,99732.23479337455
2025-11-24 13:19:00-05:00,99732.23479337455
2025-11-24 13:20:00-05:00,99730.01063235341
2025-11-24 13:21:00-05:00,99727.51608729755
2025-11-24 13:22:00-05:00,99727.51608729755
2025-11-24 13:23:00-05:00,99727.51608729755
2025-11-24 13:24:00-05:00,99725.29280795874
2025-11-24 13:25:00-05:00,99721.69643344702
2025-11-24 13:26:00-05:00,99719.76725515065
2025-11-24 13:27:00-05:00,99714.90137493901
2025-11-24 13:28:00-05:00,99714.90137493901
2025-11-24 13:29:00-05:00,99714.90137493901
2025-11-24 13:30:00-05:00,99712.68066089455
2025-11-24 13:31:00-05:00,99712.19572755971
2025-11-24 13:32:00-05:00,99709.88312189438
2025-11-24 13:33:00-05:00,99709.88312189438
2025-11-24 13:34:00-05:00,99709.88312189438
2025-11-24 13:35:00-05:00,99709.88312189438
2025-11-24 13:36:00-05:00,99709.88312189438
2025-11-24 13:37:00-05:00,99709.88312189438
2025-11-24 13:38:00-05:00,99709.88312189438
2025-11-24 13:39:00-05:00,99709.88312189438
2025-11-24 13:40:00-05:00,99709.88312189438
2025-11-24 13:41:00-05:00,99707.66024327578
2025-11-24 13:42:00-05:00,99703.15495535234
2025-11-24 13:43:00-05:00,99703.15495535234
