,equity
2025-11-24 09:30:00-05:00,99998.26325028029
2025-11-24 09:31:00-05:00,99983.59705154982
2025-11-24 09:32:00-05:00,99972.4332942256
2025-11-24 09:33:00-05:00,99964.24353592482
2025-11-24 09:34:00-05:00,99964.42371170607
2025-11-24 09:35:00-05:00,99959.47162430373
2025-11-24 09:36:00-05:00,99956.3234919795
2025-11-24 09:37:00-05:00,99964.08533279982
2025-11-24 09:38:00-05:00,99966.4034480342
2025-11-24 09:39:00-05:00,99964.06336014357
2025-11-24 09:40:00-05:00,99967.9063777217
2025-11-24 09:41:00-05:00,99964.24353592482
2025-11-24 09:42:00-05:00,99967.43836014357
2025-11-24 09:43:00-05:00,99970.5436457881
2025-11-24 09:44:00-05:00,99969.8234919795
2025-11-24 09:45:00-05:00,99974.3234919795
2025-11-24 09:46:00-05:00,99981.61347000685
2025-11-24 09:47:00-05:00,99972.97327225294
2025-11-24 09:48:00-05:00,99981.16357987013
2025-11-24 09:49:00-05:00,99980.70270340529
2025-11-24 09:50:00-05:00,99988.90509598341
2025-11-24 09:51:00-05:00,99986.25189774123
2025-11-24 09:52:00-05:00,99981.58490555373
2025-11-24 09:53:00-05:00,99989.08362381544
2025-11-24 09:54:00-05:00,99991.5582942256
2025-11-24 09:55:00-05:00,99992.50366776076
2025-11-24 09:56:00-05:00,99998.71368973341
2025-11-24 09:57:00-05:00,99999.97327225294
2025-11-24 09:58:00-05:00,100001.05322830763
2025-11-24 09:59:00-05:00,99992.23340408888
2025-11-24 10:00:00-05:00,99994.66357987013
2025-11-24 10:01:00-05:00,99993.22327225294
2025-11-24 10:02:00-05:00,99995.71826737013
2025-11-24 10:03:00-05:00,99998.98340408888
2025-11-24 10:04:00-05:00,99999.16357987013
2025-11-24 10:05:00-05:00,100001.50531570998
2025-11-24 10:06:00-05:00,100006.08991043654
2025-11-24 10:07:00-05:00,100009.96368973341
2025-11-24 10:08:00-05:00,100008.38330643263
2025-11-24 10:09:00-05:00,100008.88373367873
2025-11-24 10:10:00-05:00,100006.72327225294
2025-11-24 10:11:00-05:00,100004.58148758498
2025-11-24 10:12:00-05:00,99999.16357987013
2025-11-24 10:13:00-05:00,99993.94342606154
2025-11-24 10:14:00-05:00,99986.92371170607
2025-11-24 10:15:00-05:00,99992.6832942256
2025-11-24 10:16:00-05:00,99993.58362381544
2025-11-24 10:17:00-05:00,99992.77338211623
2025-11-24 10:18:00-05:00,100001.23340408888
