,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,100000.0
2025-11-24 09:50:00-05:00,100000.0
2025-11-24 09:51:00-05:00,100000.0
2025-11-24 09:52:00-05:00,100000.0
2025-11-24 09:53:00-05:00,100000.0
2025-11-24 09:54:00-05:00,100000.0
2025-11-24 09:55:00-05:00,100000.0
2025-11-24 09:56:00-05:00,100000.0
2025-11-24 09:57:00-05:00,100000.0
2025-11-24 09:58:00-05:00,100000.0
2025-11-24 09:59:00-05:00,99999.243510269
2025-11-24 10:00:00-05:00,100003.4827680815
2025-11-24 10:01:00-05:00,100004.92368605026
2025-11-24 10:02:00-05:00,100008.37388136276
2025-11-24 10:03:00-05:00,100010.5237837065
2025-11-24 10:04:00-05:00,100008.2457422224
2025-11-24 10:05:00-05:00,100007.48689141791
2025-11-24 10:06:00-05:00,100005.52852191922
2025-11-24 10:07:00-05:00,100005.52852191922
2025-11-24 10:08:00-05:00,100005.52852191922
2025-11-24 10:09:00-05:00,100005.52852191922
2025-11-24 10:10:00-05:00,100005.52852191922
2025-11-24 10:11:00-05:00,100005.52852191922
2025-11-24 10:12:00-05:00,100005.52852191922
2025-11-24 10:13:00-05:00,100005.52852191922
2025-11-24 10:14:00-05:00,100005.52852191922
2025-11-24 10:15:00-05:00,100005.52852191922
2025-11-24 10:16:00-05:00,100005.52852191922
2025-11-24 10:17:00-05:00,100005.52852191922
2025-11-24 10:18:00-05:00,100005.52852191922
2025-11-24 10:19:00-05:00,100005.52852191922
2025-11-24 10:20:00-05:00,100005.52852191922
2025-11-24 10:21:00-05:00,100005.52852191922
2025-11-24 10:22:00-05:00,100005.52852191922
2025-11-24 10:23:00-05:00,100005.52852191922
2025-11-24 10:24:00-05:00,100005.52852191922
2025-11-24 10:25:00-05:00,100005.52852191922
2025-11-24 10:26:00-05:00,100005.52852191922
2025-11-24 10:27:00-05:00,100005.52852191922
2025-11-24 10:28:00-05:00,100004.77031162931
2025-11-24 10:29:00-05:00,100003.85245843627
2025-11-24 10:30:00-05:00,100003.85245843627
2025-11-24 10:31:00-05:00,100003.09419816844
2025-11-24 10:32:00-05:00,100003.4960536372
2025-11-24 10:33:00-05:00,100002.49753362214
2025-11-24 10:34:00-05:00,100001.73875801449
2025-11-24 10:35:00-05:00,100004.29881660824
2025-11-24 10:36:00-05:00,100003.05875757978
2025-11-24 10:37:00-05:00,100003.05875757978
2025-11-24 10:38:00-05:00,100002.2995488046
2025-11-24 10:39:00-05:00,100006.01878708585
2025-11-24 10:40:00-05:00,100003.97989839937
2025-11-24 10:41:00-05:00,100003.21996755054
2025-11-24 10:42:00-05:00,100004.66039723804
2025-11-24 10:43:00-05:00,100003.82017470825
2025-11-24 10:44:00-05:00,100003.82017470825
2025-11-24 10:45:00-05:00,100003.05975404514
2025-11-24 10:46:00-05:00,99999.25977156268
2025-11-24 10:47:00-05:00,99999.25977156268
2025-11-24 10:48:00-05:00,99999.25977156268
2025-11-24 10:49:00-05:00,99999.25977156268
2025-11-24 10:50:00-05:00,99999.25977156268
2025-11-24 10:51:00-05:00,99999.25977156268
2025-11-24 10:52:00-05:00,99999.25977156268
2025-11-24 10:53:00-05:00,99999.25977156268
2025-11-24 10:54:00-05:00,99999.25977156268
2025-11-24 10:55:00-05:00,99999.25977156268
2025-11-24 10:56:00-05:00,99999.25977156268
2025-11-24 10:57:00-05:00,99999.25977156268
2025-11-24 10:58:00-05:00,99999.25977156268
2025-11-24 10:59:00-05:00,99999.25977156268
2025-11-24 11:00:00-05:00,99999.25977156268
2025-11-24 11:01:00-05:00,99999.25977156268
2025-11-24 11:02:00-05:00,99998.4992127704
2025-11-24 11:03:00-05:00,99999.8595643329
2025-11-24 11:04:00-05:00,100001.05927136415
2025-11-24 11:05:00-05:00,100000.29831067887
2025-11-24 11:06:00-05:00,99999.53722435891
2025-11-24 11:07:00-05:00,100000.57726342141
2025-11-24 11:08:00-05:00,100001.33702904641
2025-11-24 11:09:00-05:00,100003.93712670266
2025-11-24 11:10:00-05:00,100000.69575851335
2025-11-24 11:11:00-05:00,100000.69575851335
2025-11-24 11:12:00-05:00,99999.93367378476
2025-11-24 11:13:00-05:00,99998.39973758873
2025-11-24 11:14:00-05:00,99998.39973758873
2025-11-24 11:15:00-05:00,99998.39973758873
2025-11-24 11:16:00-05:00,99998.39973758873
2025-11-24 11:17:00-05:00,99997.63763400345
2025-11-24 11:18:00-05:00,99998.27728244095
2025-11-24 11:19:00-05:00,99996.71539931043
2025-11-24 11:20:00-05:00,99996.71539931043
2025-11-24 11:21:00-05:00,99996.71539931043
2025-11-24 11:22:00-05:00,99995.95309481697
2025-11-24 11:23:00-05:00,99994.79095075878
2025-11-24 11:24:00-05:00,99994.79095075878
2025-11-24 11:25:00-05:00,99994.79095075878
2025-11-24 11:26:00-05:00,99994.79095075878
2025-11-24 11:27:00-05:00,99994.79095075878
2025-11-24 11:28:00-05:00,99994.79095075878
2025-11-24 11:29:00-05:00,99994.79095075878
2025-11-24 11:30:00-05:00,99994.79095075878
2025-11-24 11:31:00-05:00,99994.79095075878
2025-11-24 11:32:00-05:00,99994.02948768808
2025-11-24 11:33:00-05:00,99991.74776646456
2025-11-24 11:34:00-05:00,99991.74776646456
2025-11-24 11:35:00-05:00,99991.74776646456
2025-11-24 11:36:00-05:00,99991.74776646456
2025-11-24 11:37:00-05:00,99991.74776646456
2025-11-24 11:38:00-05:00,99991.74776646456
2025-11-24 11:39:00-05:00,99991.74776646456
2025-11-24 11:40:00-05:00,99991.74776646456
2025-11-24 11:41:00-05:00,99991.74776646456
2025-11-24 11:42:00-05:00,99990.98538662095
2025-11-24 11:43:00-05:00,99988.94342252926
2025-11-24 11:44:00-05:00,99988.94342252926
2025-11-24 11:45:00-05:00,99988.18074128506
2025-11-24 11:46:00-05:00,99986.21854134665
2025-11-24 11:47:00-05:00,99986.21854134665
2025-11-24 11:48:00-05:00,99986.21854134665
2025-11-24 11:49:00-05:00,99986.21854134665
2025-11-24 11:50:00-05:00,99986.21854134665
2025-11-24 11:51:00-05:00,99986.21854134665
2025-11-24 11:52:00-05:00,99986.21854134665
2025-11-24 11:53:00-05:00,99986.21854134665
2025-11-24 11:54:00-05:00,99986.21854134665
2025-11-24 11:55:00-05:00,99986.21854134665
2025-11-24 11:56:00-05:00,99986.21854134665
2025-11-24 11:57:00-05:00,99985.4572277498
2025-11-24 11:58:00-05:00,99986.2306652498
2025-11-24 11:59:00-05:00,99983.98388833
2025-11-24 12:00:00-05:00,99983.98388833
2025-11-24 12:01:00-05:00,99983.98388833
2025-11-24 12:02:00-05:00,99983.98388833
2025-11-24 12:03:00-05:00,99983.98388833
2025-11-24 12:04:00-05:00,99983.98388833
2025-11-24 12:05:00-05:00,99983.98388833
2025-11-24 12:06:00-05:00,99983.98388833
2025-11-24 12:07:00-05:00,99983.98388833
2025-11-24 12:08:00-05:00,99983.98388833
2025-11-24 12:09:00-05:00,99983.2228271523
2025-11-24 12:10:00-05:00,99982.06180085185
2025-11-24 12:11:00-05:00,99982.06180085185
2025-11-24 12:12:00-05:00,99981.3007537017
2025-11-24 12:13:00-05:00,99980.05037193249
2025-11-24 12:14:00-05:00,99980.05037193249
2025-11-24 12:15:00-05:00,99980.05037193249
2025-11-24 12:16:00-05:00,99979.28816793145
2025-11-24 12:17:00-05:00,99978.2852790642
2025-11-24 12:18:00-05:00,99978.2852790642
2025-11-24 12:19:00-05:00,99977.52296199961
2025-11-24 12:20:00-05:00,99977.92286434336
2025-11-24 12:21:00-05:00,99977.08041894589
2025-11-24 12:22:00-05:00,99976.31790097311
2025-11-24 12:23:00-05:00,99974.11566764454
2025-11-24 12:24:00-05:00,99974.11566764454
2025-11-24 12:25:00-05:00,99974.11566764454
2025-11-24 12:26:00-05:00,99974.11566764454
2025-11-24 12:27:00-05:00,99973.35294868694
2025-11-24 12:28:00-05:00,99971.55035393826
2025-11-24 12:29:00-05:00,99971.55035393826
2025-11-24 12:30:00-05:00,99971.55035393826
2025-11-24 12:31:00-05:00,99970.78760286295
2025-11-24 12:32:00-05:00,99969.50052005073
2025-11-24 12:33:00-05:00,99968.73770060072
2025-11-24 12:34:00-05:00,99967.2547793705
2025-11-24 12:35:00-05:00,99967.2547793705
2025-11-24 12:36:00-05:00,99966.49183436246
2025-11-24 12:37:00-05:00,99965.16891868194
2025-11-24 12:38:00-05:00,99964.40569733892
2025-11-24 12:39:00-05:00,99967.76556062017
2025-11-24 12:40:00-05:00,99969.84563874517
2025-11-24 12:41:00-05:00,99966.60197226139
2025-11-24 12:42:00-05:00,99966.60197226139
2025-11-24 12:43:00-05:00,99966.60197226139
2025-11-24 12:44:00-05:00,99966.60197226139
2025-11-24 12:45:00-05:00,99966.60197226139
2025-11-24 12:46:00-05:00,99966.60197226139
2025-11-24 12:47:00-05:00,99966.60197226139
2025-11-24 12:48:00-05:00,99966.60197226139
2025-11-24 12:49:00-05:00,99966.60197226139
2025-11-24 12:50:00-05:00,99966.60197226139
2025-11-24 12:51:00-05:00,99966.60197226139
2025-11-24 12:52:00-05:00,99966.60197226139
2025-11-24 12:53:00-05:00,99965.83788442999
2025-11-24 12:54:00-05:00,99964.47428135379
2025-11-24 12:55:00-05:00,99964.47428135379
2025-11-24 12:56:00-05:00,99964.47428135379
2025-11-24 12:57:00-05:00,99964.47428135379
2025-11-24 12:58:00-05:00,99964.47428135379
2025-11-24 12:59:00-05:00,99964.47428135379
2025-11-24 13:00:00-05:00,99964.47428135379
2025-11-24 13:01:00-05:00,99964.47428135379
2025-11-24 13:02:00-05:00,99964.47428135379
2025-11-24 13:03:00-05:00,99964.47428135379
2025-11-24 13:04:00-05:00,99964.47428135379
2025-11-24 13:05:00-05:00,99963.71016838013
2025-11-24 13:06:00-05:00,99962.42123546496
2025-11-24 13:07:00-05:00,99962.42123546496
2025-11-24 13:08:00-05:00,99961.65709734905
2025-11-24 13:09:00-05:00,99960.25292300679
2025-11-24 13:10:00-05:00,99960.25292300679
2025-11-24 13:11:00-05:00,99959.48869535986
2025-11-24 13:12:00-05:00,99960.27824614111
2025-11-24 13:13:00-05:00,99961.55851957861
2025-11-24 13:14:00-05:00,99960.15881281818
2025-11-24 13:15:00-05:00,99960.15881281818
2025-11-24 13:16:00-05:00,99960.15881281818
2025-11-24 13:17:00-05:00,99960.15881281818
2025-11-24 13:18:00-05:00,99960.15881281818
2025-11-24 13:19:00-05:00,99960.15881281818
2025-11-24 13:20:00-05:00,99960.15881281818
2025-11-24 13:21:00-05:00,99960.15881281818
2025-11-24 13:22:00-05:00,99960.15881281818
2025-11-24 13:23:00-05:00,99960.15881281818
2025-11-24 13:24:00-05:00,99960.15881281818
2025-11-24 13:25:00-05:00,99960.15881281818
2025-11-24 13:26:00-05:00,99960.15881281818
2025-11-24 13:27:00-05:00,99960.15881281818
2025-11-24 13:28:00-05:00,99960.15881281818
2025-11-24 13:29:00-05:00,99960.15881281818
2025-11-24 13:30:00-05:00,99959.39522714225
2025-11-24 13:31:00-05:00,99956.31242978376
2025-11-24 13:32:00-05:00,99956.31242978376
2025-11-24 13:33:00-05:00,99956.31242978376
2025-11-24 13:34:00-05:00,99956.31242978376
2025-11-24 13:35:00-05:00,99956.31242978376
2025-11-24 13:36:00-05:00,99956.31242978376
2025-11-24 13:37:00-05:00,99956.31242978376
2025-11-24 13:38:00-05:00,99956.31242978376
2025-11-24 13:39:00-05:00,99956.31242978376
2025-11-24 13:40:00-05:00,99956.31242978376
2025-11-24 13:41:00-05:00,99956.31242978376
2025-11-24 13:42:00-05:00,99956.31242978376
2025-11-24 13:43:00-05:00,99956.31242978376
2025-11-24 13:44:00-05:00,99956.31242978376
2025-11-24 13:45:00-05:00,99956.31242978376
