,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,99996.80936513546
2025-11-24 09:50:00-05:00,99986.4931732938
2025-11-24 09:51:00-05:00,99986.4931732938
2025-11-24 09:52:00-05:00,99983.29923893475
2025-11-24 09:53:00-05:00,99974.25919987225
2025-11-24 09:54:00-05:00,99975.55911692219
2025-11-24 09:55:00-05:00,99975.55911692219
2025-11-24 09:56:00-05:00,99972.36403732972
2025-11-24 09:57:00-05:00,99967.57076966726
2025-11-24 09:58:00-05:00,99967.57076966726
2025-11-24 09:59:00-05:00,99964.37158927448
2025-11-24 10:00:00-05:00,99952.69107096987
2025-11-24 10:01:00-05:00,99952.69107096987
2025-11-24 10:02:00-05:00,99952.69107096987
2025-11-24 10:03:00-05:00,99952.69107096987
2025-11-24 10:04:00-05:00,99952.69107096987
2025-11-24 10:05:00-05:00,99949.48187766774
2025-11-24 10:06:00-05:00,99948.67289713334
2025-11-24 10:07:00-05:00,99945.46780463154
2025-11-24 10:08:00-05:00,99940.34245311152
2025-11-24 10:09:00-05:00,99937.13991731161
2025-11-24 10:10:00-05:00,99932.34611450626
2025-11-24 10:11:00-05:00,99929.1470777959
2025-11-24 10:12:00-05:00,99931.49513088545
2025-11-24 10:13:00-05:00,99927.09258604007
2025-11-24 10:14:00-05:00,99923.88696106811
2025-11-24 10:15:00-05:00,99919.08607868888
2025-11-24 10:16:00-05:00,99919.08607868888
2025-11-24 10:17:00-05:00,99919.08607868888
2025-11-24 10:18:00-05:00,99919.08607868888
2025-11-24 10:19:00-05:00,99915.88418263334
2025-11-24 10:20:00-05:00,99915.2382734067
2025-11-24 10:21:00-05:00,99907.55249923185
2025-11-24 10:22:00-05:00,99907.55249923185
2025-11-24 10:23:00-05:00,99907.55249923185
2025-11-24 10:24:00-05:00,99904.35033629109
2025-11-24 10:25:00-05:00,99898.26924917912
2025-11-24 10:26:00-05:00,99898.26924917912
2025-11-24 10:27:00-05:00,99895.06362420716
2025-11-24 10:28:00-05:00,99889.29757690546
2025-11-24 10:29:00-05:00,99889.29757690546
2025-11-24 10:30:00-05:00,99889.29757690546
2025-11-24 10:31:00-05:00,99889.29757690546
2025-11-24 10:32:00-05:00,99889.29757690546
2025-11-24 10:33:00-05:00,99889.29757690546
2025-11-24 10:34:00-05:00,99886.0887025003
2025-11-24 10:35:00-05:00,99880.9685853128
2025-11-24 10:36:00-05:00,99878.72024080782
2025-11-24 10:37:00-05:00,99875.51110081772
2025-11-24 10:38:00-05:00,99877.02109254805
2025-11-24 10:39:00-05:00,99873.80790506967
2025-11-24 10:40:00-05:00,99866.72949146107
2025-11-24 10:41:00-05:00,99866.72949146107
2025-11-24 10:42:00-05:00,99866.72949146107
2025-11-24 10:43:00-05:00,99866.72949146107
2025-11-24 10:44:00-05:00,99863.51571787543
2025-11-24 10:45:00-05:00,99863.32425064174
2025-11-24 10:46:00-05:00,99859.76284807376
2025-11-24 10:47:00-05:00,99859.76284807376
2025-11-24 10:48:00-05:00,99856.54875494103
2025-11-24 10:49:00-05:00,99855.734253403
2025-11-24 10:50:00-05:00,99855.734253403
2025-11-24 10:51:00-05:00,99855.734253403
2025-11-24 10:52:00-05:00,99852.52200083558
2025-11-24 10:53:00-05:00,99852.91792179705
2025-11-24 10:54:00-05:00,99849.70558601085
2025-11-24 10:55:00-05:00,99841.30519538585
2025-11-24 10:56:00-05:00,99843.28091443845
2025-11-24 10:57:00-05:00,99840.70941690037
2025-11-24 10:58:00-05:00,99837.4988920978
2025-11-24 10:59:00-05:00,99837.48749734237
2025-11-24 11:00:00-05:00,99834.2744158379
2025-11-24 11:01:00-05:00,99827.70377174384
2025-11-24 11:02:00-05:00,99824.48733515732
2025-11-24 11:03:00-05:00,99818.54928979144
2025-11-24 11:04:00-05:00,99818.54928979144
2025-11-24 11:05:00-05:00,99818.54928979144
2025-11-24 11:06:00-05:00,99818.54928979144
2025-11-24 11:07:00-05:00,99818.54928979144
2025-11-24 11:08:00-05:00,99818.54928979144
2025-11-24 11:09:00-05:00,99815.32768681415
2025-11-24 11:10:00-05:00,99810.62779196247
2025-11-24 11:11:00-05:00,99810.62779196247
2025-11-24 11:12:00-05:00,99810.62779196247
2025-11-24 11:13:00-05:00,99810.62779196247
2025-11-24 11:14:00-05:00,99810.62779196247
2025-11-24 11:15:00-05:00,99807.40634892127
2025-11-24 11:16:00-05:00,99808.18357437964
2025-11-24 11:17:00-05:00,99808.18357437964
2025-11-24 11:18:00-05:00,99808.18357437964
2025-11-24 11:19:00-05:00,99804.96069321394
2025-11-24 11:20:00-05:00,99802.0580179242
2025-11-24 11:21:00-05:00,99802.0580179242
2025-11-24 11:22:00-05:00,99798.83417811719
2025-11-24 11:23:00-05:00,99796.41040923276
2025-11-24 11:24:00-05:00,99796.41040923276
2025-11-24 11:25:00-05:00,99793.18763469113
2025-11-24 11:26:00-05:00,99789.78132751328
2025-11-24 11:27:00-05:00,99786.55748770628
2025-11-24 11:28:00-05:00,99783.33364789927
2025-11-24 11:29:00-05:00,99780.11113959271
2025-11-24 11:30:00-05:00,99776.7041381354
2025-11-24 11:31:00-05:00,99772.31912380802
2025-11-24 11:32:00-05:00,99769.09885233118
2025-11-24 11:33:00-05:00,99765.69632453333
2025-11-24 11:34:00-05:00,99762.97659797083
2025-11-24 11:35:00-05:00,99757.1537100077
2025-11-24 11:36:00-05:00,99753.9319474194
2025-11-24 11:37:00-05:00,99752.47053623828
2025-11-24 11:38:00-05:00,99752.47053623828
2025-11-24 11:39:00-05:00,99752.47053623828
2025-11-24 11:40:00-05:00,99752.47053623828
2025-11-24 11:41:00-05:00,99749.24690935432
2025-11-24 11:42:00-05:00,99744.42314062521
2025-11-24 11:43:00-05:00,99744.42314062521
2025-11-24 11:44:00-05:00,99744.42314062521
2025-11-24 11:45:00-05:00,99741.19770308268
2025-11-24 11:46:00-05:00,99740.37247830788
2025-11-24 11:47:00-05:00,99740.37247830788
2025-11-24 11:48:00-05:00,99740.37247830788
2025-11-24 11:49:00-05:00,99740.37247830788
2025-11-24 11:50:00-05:00,99740.37247830788
2025-11-24 11:51:00-05:00,99740.37247830788
2025-11-24 11:52:00-05:00,99740.37247830788
2025-11-24 11:53:00-05:00,99737.14810538058
2025-11-24 11:54:00-05:00,99730.67935524501
2025-11-24 11:55:00-05:00,99727.45770318166
2025-11-24 11:56:00-05:00,99724.40689266796
2025-11-24 11:57:00-05:00,99721.18725508417
2025-11-24 11:58:00-05:00,99716.42125741654
2025-11-24 11:59:00-05:00,99713.20114587579
2025-11-24 12:00:00-05:00,99709.84079431329
2025-11-24 12:01:00-05:00,99704.29847932086
2025-11-24 12:02:00-05:00,99701.07815453199
2025-11-24 12:03:00-05:00,99695.13803227249
2025-11-24 12:04:00-05:00,99695.13803227249
2025-11-24 12:05:00-05:00,99695.13803227249
2025-11-24 12:06:00-05:00,99695.13803227249
2025-11-24 12:07:00-05:00,99691.91728163754
2025-11-24 12:08:00-05:00,99690.45688240975
2025-11-24 12:09:00-05:00,99687.23831529249
2025-11-24 12:10:00-05:00,99684.81928662765
2025-11-24 12:11:00-05:00,99684.81928662765
2025-11-24 12:12:00-05:00,99684.81928662765
2025-11-24 12:13:00-05:00,99684.81928662765
2025-11-24 12:14:00-05:00,99684.81928662765
2025-11-24 12:15:00-05:00,99681.59837605662
2025-11-24 12:16:00-05:00,99674.07884480662
2025-11-24 12:17:00-05:00,99671.33703674443
2025-11-24 12:18:00-05:00,99671.33703674443
2025-11-24 12:19:00-05:00,99671.33703674443
2025-11-24 12:20:00-05:00,99671.33703674443
2025-11-24 12:21:00-05:00,99671.33703674443
2025-11-24 12:22:00-05:00,99671.33703674443
2025-11-24 12:23:00-05:00,99668.11325024946
2025-11-24 12:24:00-05:00,99666.48951689676
2025-11-24 12:25:00-05:00,99666.48951689676
2025-11-24 12:26:00-05:00,99663.26541085468
2025-11-24 12:27:00-05:00,99661.29468464747
2025-11-24 12:28:00-05:00,99653.70004755534
2025-11-24 12:29:00-05:00,99653.70004755534
2025-11-24 12:30:00-05:00,99653.70004755534
2025-11-24 12:31:00-05:00,99653.70004755534
2025-11-24 12:32:00-05:00,99650.47466299977
2025-11-24 12:33:00-05:00,99649.168561225
2025-11-24 12:34:00-05:00,99645.94301705842
2025-11-24 12:35:00-05:00,99643.43695987528
2025-11-24 12:36:00-05:00,99640.21040375537
2025-11-24 12:37:00-05:00,99631.65197116049
2025-11-24 12:38:00-05:00,99628.42424315114
2025-11-24 12:39:00-05:00,99621.70451658864
2025-11-24 12:40:00-05:00,99617.54436033864
2025-11-24 12:41:00-05:00,99612.81522546413
2025-11-24 12:42:00-05:00,99612.81522546413
2025-11-24 12:43:00-05:00,99612.81522546413
2025-11-24 12:44:00-05:00,99612.81522546413
2025-11-24 12:45:00-05:00,99609.5844086078
2025-11-24 12:46:00-05:00,99601.25269054512
2025-11-24 12:47:00-05:00,99601.25269054512
2025-11-24 12:48:00-05:00,99601.25269054512
2025-11-24 12:49:00-05:00,99601.25269054512
2025-11-24 12:50:00-05:00,99601.25269054512
2025-11-24 12:51:00-05:00,99598.02277901808
2025-11-24 12:52:00-05:00,99594.87291896001
2025-11-24 12:53:00-05:00,99591.64151632151
2025-11-24 12:54:00-05:00,99589.60973162309
2025-11-24 12:55:00-05:00,99586.37990006409
2025-11-24 12:56:00-05:00,99583.0700170361
2025-11-24 12:57:00-05:00,99579.84122408644
2025-11-24 12:58:00-05:00,99578.53171391759
2025-11-24 12:59:00-05:00,99578.53171391759
2025-11-24 13:00:00-05:00,99578.53171391759
2025-11-24 13:01:00-05:00,99575.30087040525
2025-11-24 13:02:00-05:00,99572.15013167392
2025-11-24 13:03:00-05:00,99572.15013167392
2025-11-24 13:04:00-05:00,99572.15013167392
2025-11-24 13:05:00-05:00,99568.91862241135
2025-11-24 13:06:00-05:00,99566.73726729014
2025-11-24 13:07:00-05:00,99566.73726729014
2025-11-24 13:08:00-05:00,99566.73726729014
2025-11-24 13:09:00-05:00,99566.73726729014
2025-11-24 13:10:00-05:00,99566.73726729014
2025-11-24 13:11:00-05:00,99566.73726729014
2025-11-24 13:12:00-05:00,99566.73726729014
2025-11-24 13:13:00-05:00,99563.5038937319
2025-11-24 13:14:00-05:00,99555.075549631
2025-11-24 13:15:00-05:00,99555.075549631
2025-11-24 13:16:00-05:00,99551.84414699249
2025-11-24 13:17:00-05:00,99550.72500636749
2025-11-24 13:18:00-05:00,99547.1737703871
2025-11-24 13:19:00-05:00,99543.94162203034
2025-11-24 13:20:00-05:00,99541.38107515534
2025-11-24 13:21:00-05:00,99533.76422840175
2025-11-24 13:22:00-05:00,99530.53250589107
2025-11-24 13:23:00-05:00,99527.90439641816
2025-11-24 13:24:00-05:00,99524.18979079556
2025-11-24 13:25:00-05:00,99520.957909324
2025-11-24 13:26:00-05:00,99519.32705723215
2025-11-24 13:27:00-05:00,99516.09560160669
2025-11-24 13:28:00-05:00,99512.54589258015
2025-11-24 13:29:00-05:00,99512.54589258015
2025-11-24 13:30:00-05:00,99509.31661949717
2025-11-24 13:31:00-05:00,99507.492681097
2025-11-24 13:32:00-05:00,99504.771977972
2025-11-24 13:33:00-05:00,99502.34130327147
2025-11-24 13:34:00-05:00,99499.11075265022
2025-11-24 13:35:00-05:00,99494.60035476263
2025-11-24 13:36:00-05:00,99491.36841932891
2025-11-24 13:37:00-05:00,99484.23571692969
2025-11-24 13:38:00-05:00,99484.23571692969
2025-11-24 13:39:00-05:00,99481.00415435509
2025-11-24 13:40:00-05:00,99475.6340935048
2025-11-24 13:41:00-05:00,99475.6340935048
2025-11-24 13:42:00-05:00,99475.6340935048
2025-11-24 13:43:00-05:00,99475.6340935048
2025-11-24 13:44:00-05:00,99475.6340935048
