,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,99998.41493755108
2025-11-24 09:50:00-05:00,99993.26708896832
2025-11-24 09:51:00-05:00,99993.26708896832
2025-11-24 09:52:00-05:00,99991.68038740367
2025-11-24 09:53:00-05:00,99987.16036787242
2025-11-24 09:54:00-05:00,99987.84111732185
2025-11-24 09:55:00-05:00,99987.84111732185
2025-11-24 09:56:00-05:00,99986.25384683062
2025-11-24 09:57:00-05:00,99983.867484018
2025-11-24 09:58:00-05:00,99983.867484018
2025-11-24 09:59:00-05:00,99982.27817634009
2025-11-24 10:00:00-05:00,99976.44820880012
2025-11-24 10:01:00-05:00,99976.44820880012
2025-11-24 10:02:00-05:00,99976.44820880012
2025-11-24 10:03:00-05:00,99976.44820880012
2025-11-24 10:04:00-05:00,99976.44820880012
2025-11-24 10:05:00-05:00,99974.85392693081
2025-11-24 10:06:00-05:00,99974.45974887178
2025-11-24 10:07:00-05:00,99972.86750418915
2025-11-24 10:08:00-05:00,99970.3151279371
2025-11-24 10:09:00-05:00,99968.7241533673
2025-11-24 10:10:00-05:00,99966.33754358745
2025-11-24 10:11:00-05:00,99964.74830728777
2025-11-24 10:12:00-05:00,99965.94291671788
2025-11-24 10:13:00-05:00,99963.75193702515
2025-11-24 10:14:00-05:00,99962.15942782316
2025-11-24 10:15:00-05:00,99959.769291628
2025-11-24 10:16:00-05:00,99959.769291628
2025-11-24 10:17:00-05:00,99959.769291628
2025-11-24 10:18:00-05:00,99959.769291628
2025-11-24 10:19:00-05:00,99958.17863486902
2025-11-24 10:20:00-05:00,99957.87627515309
2025-11-24 10:21:00-05:00,99954.04369032002
2025-11-24 10:22:00-05:00,99954.04369032002
2025-11-24 10:23:00-05:00,99954.04369032002
2025-11-24 10:24:00-05:00,99952.45290097837
2025-11-24 10:25:00-05:00,99949.42264646223
2025-11-24 10:26:00-05:00,99949.42264646223
2025-11-24 10:27:00-05:00,99947.83013726024
2025-11-24 10:28:00-05:00,99944.95741963871
2025-11-24 10:29:00-05:00,99944.95741963871
2025-11-24 10:30:00-05:00,99944.95741963871
2025-11-24 10:31:00-05:00,99944.95741963871
2025-11-24 10:32:00-05:00,99944.95741963871
2025-11-24 10:33:00-05:00,99944.95741963871
2025-11-24 10:34:00-05:00,99943.36329619033
2025-11-24 10:35:00-05:00,99940.80323759658
2025-11-24 10:36:00-05:00,99939.68938355829
2025-11-24 10:37:00-05:00,99938.0951281732
2025-11-24 10:38:00-05:00,99938.86044371166
2025-11-24 10:39:00-05:00,99937.26417762412
2025-11-24 10:40:00-05:00,99933.75594554187
2025-11-24 10:41:00-05:00,99933.75594554187
2025-11-24 10:42:00-05:00,99933.75594554187
2025-11-24 10:43:00-05:00,99933.75594554187
2025-11-24 10:44:00-05:00,99932.15938828923
2025-11-24 10:45:00-05:00,99932.08432713905
2025-11-24 10:46:00-05:00,99930.33461499093
2025-11-24 10:47:00-05:00,99930.33461499093
2025-11-24 10:48:00-05:00,99928.73789899438
2025-11-24 10:49:00-05:00,99928.3409813698
2025-11-24 10:50:00-05:00,99928.3409813698
2025-11-24 10:51:00-05:00,99928.3409813698
2025-11-24 10:52:00-05:00,99926.74517972529
2025-11-24 10:53:00-05:00,99926.95346871657
2025-11-24 10:54:00-05:00,99925.35762573083
2025-11-24 10:55:00-05:00,99921.15743041833
2025-11-24 10:56:00-05:00,99922.16593975933
2025-11-24 10:57:00-05:00,99920.89051521051
2025-11-24 10:58:00-05:00,99919.29557188129
2025-11-24 10:59:00-05:00,99919.3001970081
2025-11-24 11:00:00-05:00,99917.70398356604
2025-11-24 11:01:00-05:00,99914.42899242924
2025-11-24 11:02:00-05:00,99912.8311122568
2025-11-24 11:03:00-05:00,99909.87243061284
2025-11-24 11:04:00-05:00,99909.87243061284
2025-11-24 11:05:00-05:00,99909.87243061284
2025-11-24 11:06:00-05:00,99909.87243061284
2025-11-24 11:07:00-05:00,99909.87243061284
2025-11-24 11:08:00-05:00,99909.87243061284
2025-11-24 11:09:00-05:00,99908.271983892
2025-11-24 11:10:00-05:00,99905.95308480968
2025-11-24 11:11:00-05:00,99905.95308480968
2025-11-24 11:12:00-05:00,99905.95308480968
2025-11-24 11:13:00-05:00,99905.95308480968
2025-11-24 11:14:00-05:00,99905.95308480968
2025-11-24 11:15:00-05:00,99904.35271754154
2025-11-24 11:16:00-05:00,99904.75168881349
2025-11-24 11:17:00-05:00,99904.75168881349
2025-11-24 11:18:00-05:00,99904.75168881349
2025-11-24 11:19:00-05:00,99903.15060711697
2025-11-24 11:20:00-05:00,99901.709628702
2025-11-24 11:21:00-05:00,99901.709628702
2025-11-24 11:22:00-05:00,99900.10807077373
2025-11-24 11:23:00-05:00,99898.90654744889
2025-11-24 11:24:00-05:00,99898.90654744889
2025-11-24 11:25:00-05:00,99897.30551872084
2025-11-24 11:26:00-05:00,99895.61272347777
2025-11-24 11:27:00-05:00,99894.0111655495
2025-11-24 11:28:00-05:00,99892.40960762123
2025-11-24 11:29:00-05:00,99890.80871115287
2025-11-24 11:30:00-05:00,99889.12593231542
2025-11-24 11:31:00-05:00,99886.964490998
2025-11-24 11:32:00-05:00,99885.36470573705
2025-11-24 11:33:00-05:00,99883.68414931445
2025-11-24 11:34:00-05:00,99882.3242860332
2025-11-24 11:35:00-05:00,99879.44389966187
2025-11-24 11:36:00-05:00,99877.84337364981
2025-11-24 11:37:00-05:00,99877.12302145385
2025-11-24 11:38:00-05:00,99877.12302145385
2025-11-24 11:39:00-05:00,99877.12302145385
2025-11-24 11:40:00-05:00,99877.12302145385
2025-11-24 11:41:00-05:00,99875.52156930104
2025-11-24 11:42:00-05:00,99873.12004794135
2025-11-24 11:43:00-05:00,99873.12004794135
2025-11-24 11:44:00-05:00,99873.12004794135
2025-11-24 11:45:00-05:00,99871.5176962935
2025-11-24 11:46:00-05:00,99871.11544845594
2025-11-24 11:47:00-05:00,99871.11544845594
2025-11-24 11:48:00-05:00,99871.11544845594
2025-11-24 11:49:00-05:00,99871.11544845594
2025-11-24 11:50:00-05:00,99871.11544845594
2025-11-24 11:51:00-05:00,99871.11544845594
2025-11-24 11:52:00-05:00,99871.11544845594
2025-11-24 11:53:00-05:00,99869.51362568533
2025-11-24 11:54:00-05:00,99866.31033139613
2025-11-24 11:55:00-05:00,99864.70986029042
2025-11-24 11:56:00-05:00,99863.19481014283
2025-11-24 11:57:00-05:00,99861.5953397859
2025-11-24 11:58:00-05:00,99859.22268772792
2025-11-24 11:59:00-05:00,99857.62298191967
2025-11-24 12:00:00-05:00,99855.94280613842
2025-11-24 12:01:00-05:00,99853.18200469732
2025-11-24 12:02:00-05:00,99851.58219295213
2025-11-24 12:03:00-05:00,99848.62247955347
2025-11-24 12:04:00-05:00,99848.62247955347
2025-11-24 12:05:00-05:00,99848.62247955347
2025-11-24 12:06:00-05:00,99848.62247955347
2025-11-24 12:07:00-05:00,99847.0224562574
2025-11-24 12:08:00-05:00,99846.30260677743
2025-11-24 12:09:00-05:00,99844.70366820454
2025-11-24 12:10:00-05:00,99843.50449971572
2025-11-24 12:11:00-05:00,99843.50449971572
2025-11-24 12:12:00-05:00,99843.50449971572
2025-11-24 12:13:00-05:00,99843.50449971572
2025-11-24 12:14:00-05:00,99843.50449971572
2025-11-24 12:15:00-05:00,99841.90439696694
2025-11-24 12:16:00-05:00,99838.14463134194
2025-11-24 12:17:00-05:00,99836.7840873965
2025-11-24 12:18:00-05:00,99836.7840873965
2025-11-24 12:19:00-05:00,99836.7840873965
2025-11-24 12:20:00-05:00,99836.7840873965
2025-11-24 12:21:00-05:00,99836.7840873965
2025-11-24 12:22:00-05:00,99836.7840873965
2025-11-24 12:23:00-05:00,99835.18255595247
2025-11-24 12:24:00-05:00,99834.38105279634
2025-11-24 12:25:00-05:00,99834.38105279634
2025-11-24 12:26:00-05:00,99832.77936260839
2025-11-24 12:27:00-05:00,99831.81473478227
2025-11-24 12:28:00-05:00,99828.04851245931
2025-11-24 12:29:00-05:00,99828.04851245931
2025-11-24 12:30:00-05:00,99828.04851245931
2025-11-24 12:31:00-05:00,99828.04851245931
2025-11-24 12:32:00-05:00,99826.4461871342
2025-11-24 12:33:00-05:00,99825.80350525877
2025-11-24 12:34:00-05:00,99824.20110064244
2025-11-24 12:35:00-05:00,99822.9584402898
2025-11-24 12:36:00-05:00,99821.35553295749
2025-11-24 12:37:00-05:00,99817.10742523876
2025-11-24 12:38:00-05:00,99815.50393573777
2025-11-24 12:39:00-05:00,99812.14407245652
2025-11-24 12:40:00-05:00,99810.06399433152
2025-11-24 12:41:00-05:00,99807.73056945406
2025-11-24 12:42:00-05:00,99807.73056945406
2025-11-24 12:43:00-05:00,99807.73056945406
2025-11-24 12:44:00-05:00,99807.73056945406
2025-11-24 12:45:00-05:00,99806.12554548235
2025-11-24 12:46:00-05:00,99801.99083544628
2025-11-24 12:47:00-05:00,99801.99083544628
2025-11-24 12:48:00-05:00,99801.99083544628
2025-11-24 12:49:00-05:00,99801.99083544628
2025-11-24 12:50:00-05:00,99801.99083544628
2025-11-24 12:51:00-05:00,99800.3862612221
2025-11-24 12:52:00-05:00,99798.82171281829
2025-11-24 12:53:00-05:00,99797.21639784299
2025-11-24 12:54:00-05:00,99796.21089055146
2025-11-24 12:55:00-05:00,99794.60635605363
2025-11-24 12:56:00-05:00,99792.9617957354
2025-11-24 12:57:00-05:00,99791.35777719568
2025-11-24 12:58:00-05:00,99790.71340210561
2025-11-24 12:59:00-05:00,99790.71340210561
2025-11-24 13:00:00-05:00,99790.71340210561
2025-11-24 13:01:00-05:00,99789.10836489178
2025-11-24 13:02:00-05:00,99787.54337998258
2025-11-24 13:03:00-05:00,99787.54337998258
2025-11-24 13:04:00-05:00,99787.54337998258
2025-11-24 13:05:00-05:00,99785.93801203881
2025-11-24 13:06:00-05:00,99784.85772003971
2025-11-24 13:07:00-05:00,99784.85772003971
2025-11-24 13:08:00-05:00,99784.85772003971
2025-11-24 13:09:00-05:00,99784.85772003971
2025-11-24 13:10:00-05:00,99784.85772003971
2025-11-24 13:11:00-05:00,99784.85772003971
2025-11-24 13:12:00-05:00,99784.85772003971
2025-11-24 13:13:00-05:00,99783.25142595518
2025-11-24 13:14:00-05:00,99779.06842790032
2025-11-24 13:15:00-05:00,99779.06842790032
2025-11-24 13:16:00-05:00,99777.46311292502
2025-11-24 13:17:00-05:00,99776.90354261252
2025-11-24 13:18:00-05:00,99775.13830942234
2025-11-24 13:19:00-05:00,99773.53262399073
2025-11-24 13:20:00-05:00,99772.25235055323
2025-11-24 13:21:00-05:00,99768.47509496279
2025-11-24 13:22:00-05:00,99766.86962108208
2025-11-24 13:23:00-05:00,99765.57634932778
2025-11-24 13:24:00-05:00,99763.72943852394
2025-11-24 13:25:00-05:00,99762.12388567498
2025-11-24 13:26:00-05:00,99761.31884923369
2025-11-24 13:27:00-05:00,99759.71350793564
2025-11-24 13:28:00-05:00,99757.94903959558
2025-11-24 13:29:00-05:00,99757.94903959558
2025-11-24 13:30:00-05:00,99756.34478253625
2025-11-24 13:31:00-05:00,99755.45358224909
2025-11-24 13:32:00-05:00,99754.09323068659
2025-11-24 13:33:00-05:00,99752.88827985205
2025-11-24 13:34:00-05:00,99751.28338814003
2025-11-24 13:35:00-05:00,99749.03857142164
2025-11-24 13:36:00-05:00,99747.43299176548
2025-11-24 13:37:00-05:00,99743.89779650883
2025-11-24 13:38:00-05:00,99743.89779650883
2025-11-24 13:39:00-05:00,99742.29240208081
2025-11-24 13:40:00-05:00,99739.6385183319
2025-11-24 13:41:00-05:00,99739.6385183319
2025-11-24 13:42:00-05:00,99739.6385183319
2025-11-24 13:43:00-05:00,99739.6385183319
2025-11-24 13:44:00-05:00,99739.6385183319
