,equity
2025-11-24 09:30:00-05:00,99998.18874193057
2025-11-24 09:31:00-05:00,100006.85378099307
2025-11-24 09:32:00-05:00,100016.10964036807
2025-11-24 09:33:00-05:00,100018.42897630557
2025-11-24 09:34:00-05:00,100024.74880052432
2025-11-24 09:35:00-05:00,100029.22878099307
2025-11-24 09:36:00-05:00,100028.98903489932
2025-11-24 09:37:00-05:00,100025.62868333682
2025-11-24 09:38:00-05:00,100023.06862474307
2025-11-24 09:39:00-05:00,100019.38893724307
2025-11-24 09:40:00-05:00,100014.50905443057
2025-11-24 09:41:00-05:00,100021.38893724307
2025-11-24 09:42:00-05:00,100024.82887864932
2025-11-24 09:43:00-05:00,100019.10866380557
2025-11-24 09:44:00-05:00,100013.54860521182
2025-11-24 09:45:00-05:00,100017.54860521182
2025-11-24 09:46:00-05:00,100016.37868333682
2025-11-24 09:47:00-05:00,100024.18874193057
2025-11-24 09:48:00-05:00,100022.02956224307
2025-11-24 09:49:00-05:00,100012.31276536807
2025-11-24 09:50:00-05:00,100008.74880052432
2025-11-24 09:51:00-05:00,100011.78883958682
2025-11-24 09:52:00-05:00,100017.26882005557
2025-11-24 09:53:00-05:00,100021.78883958682
2025-11-24 09:54:00-05:00,100016.34889818057
2025-11-24 09:55:00-05:00,100015.02907396182
2025-11-24 09:56:00-05:00,100018.98903489932
2025-11-24 09:57:00-05:00,100019.78786302432
2025-11-24 09:58:00-05:00,100018.26882005557
2025-11-24 09:59:00-05:00,100025.14870286807
2025-11-24 10:00:00-05:00,100029.38796068057
2025-11-24 10:01:00-05:00,100030.82887864932
2025-11-24 10:02:00-05:00,100034.27907396182
2025-11-24 10:03:00-05:00,100036.42897630557
2025-11-24 10:04:00-05:00,100034.90895677432
2025-11-24 10:05:00-05:00,100040.18874193057
2025-11-24 10:06:00-05:00,100038.98903489932
2025-11-24 10:07:00-05:00,100034.02907396182
2025-11-24 10:08:00-05:00,100033.06862474307
2025-11-24 10:09:00-05:00,100030.18874193057
2025-11-24 10:10:00-05:00,100029.39284349307
2025-11-24 10:11:00-05:00,100024.93288255557
2025-11-24 10:12:00-05:00,100029.30885911807
2025-11-24 10:13:00-05:00,100029.90895677432
2025-11-24 10:14:00-05:00,100034.82887864932
2025-11-24 10:15:00-05:00,100035.62624193057
2025-11-24 10:16:00-05:00,100035.78883958682
2025-11-24 10:17:00-05:00,100034.42897630557
2025-11-24 10:18:00-05:00,100032.90895677432
