,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,100000.0
2025-11-24 09:50:00-05:00,99998.43246143243
2025-11-24 09:51:00-05:00,99993.15389272386
2025-11-24 09:52:00-05:00,99993.15389272386
2025-11-24 09:53:00-05:00,99993.15389272386
2025-11-24 09:54:00-05:00,99993.15389272386
2025-11-24 09:55:00-05:00,99993.15389272386
2025-11-24 09:56:00-05:00,99993.15389272386
2025-11-24 09:57:00-05:00,99993.15389272386
2025-11-24 09:58:00-05:00,99993.15389272386
2025-11-24 09:59:00-05:00,99993.15389272386
2025-11-24 10:00:00-05:00,99991.57997405819
2025-11-24 10:01:00-05:00,99992.4199398785
2025-11-24 10:02:00-05:00,99993.889666441
2025-11-24 10:03:00-05:00,99996.1997860699
2025-11-24 10:04:00-05:00,99994.2044667586
2025-11-24 10:05:00-05:00,99992.62813794262
2025-11-24 10:06:00-05:00,99990.0720374406
2025-11-24 10:07:00-05:00,99990.0720374406
2025-11-24 10:08:00-05:00,99990.0720374406
2025-11-24 10:09:00-05:00,99990.0720374406
2025-11-24 10:10:00-05:00,99990.0720374406
2025-11-24 10:11:00-05:00,99990.0720374406
2025-11-24 10:12:00-05:00,99990.0720374406
2025-11-24 10:13:00-05:00,99990.0720374406
2025-11-24 10:14:00-05:00,99990.0720374406
2025-11-24 10:15:00-05:00,99990.0720374406
2025-11-24 10:16:00-05:00,99990.0720374406
2025-11-24 10:17:00-05:00,99990.0720374406
2025-11-24 10:18:00-05:00,99990.0720374406
2025-11-24 10:19:00-05:00,99990.0720374406
2025-11-24 10:20:00-05:00,99990.0720374406
2025-11-24 10:21:00-05:00,99990.0720374406
2025-11-24 10:22:00-05:00,99990.0720374406
2025-11-24 10:23:00-05:00,99990.0720374406
2025-11-24 10:24:00-05:00,99990.0720374406
2025-11-24 10:25:00-05:00,99990.0720374406
2025-11-24 10:26:00-05:00,99990.0720374406
2025-11-24 10:27:00-05:00,99990.0720374406
2025-11-24 10:28:00-05:00,99988.49577943928
2025-11-24 10:29:00-05:00,99986.67436496553
2025-11-24 10:30:00-05:00,99986.67436496553
2025-11-24 10:31:00-05:00,99986.67436496553
2025-11-24 10:32:00-05:00,99985.0978234171
2025-11-24 10:33:00-05:00,99982.96135131926
2025-11-24 10:34:00-05:00,99981.38426632962
2025-11-24 10:35:00-05:00,99983.13426632962
2025-11-24 10:36:00-05:00,99980.78695302602
2025-11-24 10:37:00-05:00,99980.78695302602
2025-11-24 10:38:00-05:00,99980.78695302602
2025-11-24 10:39:00-05:00,99979.20866288911
2025-11-24 10:40:00-05:00,99976.58055635974
2025-11-24 10:41:00-05:00,99975.00191171684
2025-11-24 10:42:00-05:00,99976.05165536919
2025-11-24 10:43:00-05:00,99976.75191171684
2025-11-24 10:44:00-05:00,99974.75283519019
2025-11-24 10:45:00-05:00,99973.17310366484
2025-11-24 10:46:00-05:00,99970.33384872967
2025-11-24 10:47:00-05:00,99970.33384872967
2025-11-24 10:48:00-05:00,99970.33384872967
2025-11-24 10:49:00-05:00,99970.33384872967
2025-11-24 10:50:00-05:00,99970.33384872967
2025-11-24 10:51:00-05:00,99970.33384872967
2025-11-24 10:52:00-05:00,99970.33384872967
2025-11-24 10:53:00-05:00,99970.33384872967
2025-11-24 10:54:00-05:00,99970.33384872967
2025-11-24 10:55:00-05:00,99970.33384872967
2025-11-24 10:56:00-05:00,99970.33384872967
2025-11-24 10:57:00-05:00,99970.33384872967
2025-11-24 10:58:00-05:00,99970.33384872967
2025-11-24 10:59:00-05:00,99970.33384872967
2025-11-24 11:00:00-05:00,99970.33384872967
2025-11-24 11:01:00-05:00,99970.33384872967
2025-11-24 11:02:00-05:00,99968.75347915124
2025-11-24 11:03:00-05:00,99969.80322280359
2025-11-24 11:04:00-05:00,99970.50347915124
2025-11-24 11:05:00-05:00,99970.9166261239
2025-11-24 11:06:00-05:00,99971.55322280359
2025-11-24 11:07:00-05:00,99972.53204360437
2025-11-24 11:08:00-05:00,99972.81359878015
2025-11-24 11:09:00-05:00,99974.5059205575
2025-11-24 11:10:00-05:00,99971.16181392153
2025-11-24 11:11:00-05:00,99971.16181392153
2025-11-24 11:12:00-05:00,99969.57919947508
2025-11-24 11:13:00-05:00,99967.01766754632
2025-11-24 11:14:00-05:00,99967.01766754632
2025-11-24 11:15:00-05:00,99967.01766754632
2025-11-24 11:16:00-05:00,99965.43500593815
2025-11-24 11:17:00-05:00,99963.64263731263
2025-11-24 11:18:00-05:00,99962.05990474559
2025-11-24 11:19:00-05:00,99959.53327704946
2025-11-24 11:20:00-05:00,99959.53327704946
2025-11-24 11:21:00-05:00,99959.53327704946
2025-11-24 11:22:00-05:00,99959.53327704946
2025-11-24 11:23:00-05:00,99959.53327704946
2025-11-24 11:24:00-05:00,99959.53327704946
2025-11-24 11:25:00-05:00,99959.53327704946
2025-11-24 11:26:00-05:00,99959.53327704946
2025-11-24 11:27:00-05:00,99959.53327704946
2025-11-24 11:28:00-05:00,99959.53327704946
2025-11-24 11:29:00-05:00,99959.53327704946
2025-11-24 11:30:00-05:00,99959.53327704946
2025-11-24 11:31:00-05:00,99957.95172597672
2025-11-24 11:32:00-05:00,99959.91193105484
2025-11-24 11:33:00-05:00,99957.09844800778
2025-11-24 11:34:00-05:00,99957.09844800778
2025-11-24 11:35:00-05:00,99957.09844800778
2025-11-24 11:36:00-05:00,99957.09844800778
2025-11-24 11:37:00-05:00,99957.09844800778
2025-11-24 11:38:00-05:00,99957.09844800778
2025-11-24 11:39:00-05:00,99957.09844800778
2025-11-24 11:40:00-05:00,99957.09844800778
2025-11-24 11:41:00-05:00,99957.09844800778
2025-11-24 11:42:00-05:00,99957.09844800778
2025-11-24 11:43:00-05:00,99957.09844800778
2025-11-24 11:44:00-05:00,99957.09844800778
2025-11-24 11:45:00-05:00,99955.51533742601
2025-11-24 11:46:00-05:00,99952.112772885
2025-11-24 11:47:00-05:00,99952.112772885
2025-11-24 11:48:00-05:00,99952.112772885
2025-11-24 11:49:00-05:00,99952.112772885
2025-11-24 11:50:00-05:00,99952.112772885
2025-11-24 11:51:00-05:00,99952.112772885
2025-11-24 11:52:00-05:00,99952.112772885
2025-11-24 11:53:00-05:00,99952.112772885
2025-11-24 11:54:00-05:00,99952.112772885
2025-11-24 11:55:00-05:00,99950.5316471329
2025-11-24 11:56:00-05:00,99948.5303966971
2025-11-24 11:57:00-05:00,99946.94993265104
2025-11-24 11:58:00-05:00,99947.43613870573
2025-11-24 11:59:00-05:00,99944.63392986577
2025-11-24 12:00:00-05:00,99944.63392986577
2025-11-24 12:01:00-05:00,99944.63392986577
2025-11-24 12:02:00-05:00,99944.63392986577
2025-11-24 12:03:00-05:00,99943.05370206089
2025-11-24 12:04:00-05:00,99941.40338224368
2025-11-24 12:05:00-05:00,99939.82327068446
2025-11-24 12:06:00-05:00,99940.24880779383
2025-11-24 12:07:00-05:00,99936.18313778703
2025-11-24 12:08:00-05:00,99936.18313778703
2025-11-24 12:09:00-05:00,99934.6032763146
2025-11-24 12:10:00-05:00,99934.6383104943
2025-11-24 12:11:00-05:00,99932.53319814615
2025-11-24 12:12:00-05:00,99930.95353743546
2025-11-24 12:13:00-05:00,99928.67381138203
2025-11-24 12:14:00-05:00,99928.67381138203
2025-11-24 12:15:00-05:00,99928.67381138203
2025-11-24 12:16:00-05:00,99927.09233126818
2025-11-24 12:17:00-05:00,99927.75755343615
2025-11-24 12:18:00-05:00,99925.79102997998
2025-11-24 12:19:00-05:00,99924.2089944542
2025-11-24 12:20:00-05:00,99924.4888406456
2025-11-24 12:21:00-05:00,99924.52387482529
2025-11-24 12:22:00-05:00,99925.01392609482
2025-11-24 12:23:00-05:00,99922.38180245597
2025-11-24 12:24:00-05:00,99922.38180245597
2025-11-24 12:25:00-05:00,99922.38180245597
2025-11-24 12:26:00-05:00,99922.38180245597
2025-11-24 12:27:00-05:00,99920.7992589684
2025-11-24 12:28:00-05:00,99918.7268296378
2025-11-24 12:29:00-05:00,99918.7268296378
2025-11-24 12:30:00-05:00,99918.7268296378
2025-11-24 12:31:00-05:00,99917.14416802964
2025-11-24 12:32:00-05:00,99915.14166528487
2025-11-24 12:33:00-05:00,99915.14166528487
2025-11-24 12:34:00-05:00,99915.14166528487
2025-11-24 12:35:00-05:00,99915.14166528487
2025-11-24 12:36:00-05:00,99915.14166528487
2025-11-24 12:37:00-05:00,99915.14166528487
2025-11-24 12:38:00-05:00,99913.55864917074
2025-11-24 12:39:00-05:00,99914.8185979012
2025-11-24 12:40:00-05:00,99917.06719409261
2025-11-24 12:41:00-05:00,99914.28497285888
2025-11-24 12:42:00-05:00,99914.28497285888
2025-11-24 12:43:00-05:00,99914.28497285888
2025-11-24 12:44:00-05:00,99914.28497285888
2025-11-24 12:45:00-05:00,99912.70032728641
2025-11-24 12:46:00-05:00,99910.76887499682
2025-11-24 12:47:00-05:00,99910.76887499682
2025-11-24 12:48:00-05:00,99909.18411029418
2025-11-24 12:49:00-05:00,99909.81258929809
2025-11-24 12:50:00-05:00,99907.45925617873
2025-11-24 12:51:00-05:00,99907.45925617873
2025-11-24 12:52:00-05:00,99907.45925617873
2025-11-24 12:53:00-05:00,99907.45925617873
2025-11-24 12:54:00-05:00,99907.45925617873
2025-11-24 12:55:00-05:00,99907.45925617873
2025-11-24 12:56:00-05:00,99907.45925617873
2025-11-24 12:57:00-05:00,99907.45925617873
2025-11-24 12:58:00-05:00,99907.45925617873
2025-11-24 12:59:00-05:00,99907.45925617873
2025-11-24 13:00:00-05:00,99907.45925617873
2025-11-24 13:01:00-05:00,99907.45925617873
2025-11-24 13:02:00-05:00,99905.87423158195
2025-11-24 13:03:00-05:00,99906.64455628899
2025-11-24 13:04:00-05:00,99904.80386473658
2025-11-24 13:05:00-05:00,99904.80386473658
2025-11-24 13:06:00-05:00,99904.80386473658
2025-11-24 13:07:00-05:00,99904.80386473658
2025-11-24 13:08:00-05:00,99904.80386473658
2025-11-24 13:09:00-05:00,99904.80386473658
2025-11-24 13:10:00-05:00,99904.80386473658
2025-11-24 13:11:00-05:00,99903.2185565927
2025-11-24 13:12:00-05:00,99903.8478900888
2025-11-24 13:13:00-05:00,99905.2488300302
2025-11-24 13:14:00-05:00,99903.24299539073
2025-11-24 13:15:00-05:00,99903.24299539073
2025-11-24 13:16:00-05:00,99903.24299539073
2025-11-24 13:17:00-05:00,99903.24299539073
2025-11-24 13:18:00-05:00,99903.24299539073
2025-11-24 13:19:00-05:00,99903.24299539073
2025-11-24 13:20:00-05:00,99903.24299539073
2025-11-24 13:21:00-05:00,99903.24299539073
2025-11-24 13:22:00-05:00,99903.24299539073
2025-11-24 13:23:00-05:00,99903.24299539073
2025-11-24 13:24:00-05:00,99903.24299539073
2025-11-24 13:25:00-05:00,99903.24299539073
2025-11-24 13:26:00-05:00,99903.24299539073
2025-11-24 13:27:00-05:00,99903.24299539073
2025-11-24 13:28:00-05:00,99903.24299539073
2025-11-24 13:29:00-05:00,99901.65820703513
2025-11-24 13:30:00-05:00,99904.24817285544
2025-11-24 13:31:00-05:00,99900.77519358354
2025-11-24 13:32:00-05:00,99900.77519358354
2025-11-24 13:33:00-05:00,99900.77519358354
2025-11-24 13:34:00-05:00,99900.77519358354
2025-11-24 13:35:00-05:00,99900.77519358354
2025-11-24 13:36:00-05:00,99900.77519358354
2025-11-24 13:37:00-05:00,99900.77519358354
2025-11-24 13:38:00-05:00,99900.77519358354
2025-11-24 13:39:00-05:00,99900.77519358354
2025-11-24 13:40:00-05:00,99900.77519358354
2025-11-24 13:41:00-05:00,99900.77519358354
2025-11-24 13:42:00-05:00,99900.77519358354
2025-11-24 13:43:00-05:00,99900.77519358354
2025-11-24 13:44:00-05:00,99900.77519358354
