,equity
2025-11-24 09:30:00-05:00,100000.0
2025-11-24 09:31:00-05:00,100000.0
2025-11-24 09:32:00-05:00,100000.0
2025-11-24 09:33:00-05:00,100000.0
2025-11-24 09:34:00-05:00,100000.0
2025-11-24 09:35:00-05:00,100000.0
2025-11-24 09:36:00-05:00,100000.0
2025-11-24 09:37:00-05:00,100000.0
2025-11-24 09:38:00-05:00,100000.0
2025-11-24 09:39:00-05:00,100000.0
2025-11-24 09:40:00-05:00,100000.0
2025-11-24 09:41:00-05:00,100000.0
2025-11-24 09:42:00-05:00,100000.0
2025-11-24 09:43:00-05:00,100000.0
2025-11-24 09:44:00-05:00,100000.0
2025-11-24 09:45:00-05:00,100000.0
2025-11-24 09:46:00-05:00,100000.0
2025-11-24 09:47:00-05:00,100000.0
2025-11-24 09:48:00-05:00,100000.0
2025-11-24 09:49:00-05:00,99996.63891193832
2025-11-24 09:50:00-05:00,99987.1275569721
2025-11-24 09:51:00-05:00,99983.76586223667
2025-11-24 09:52:00-05:00,99975.29082561558
2025-11-24 09:53:00-05:00,99969.36553264683
2025-11-24 09:54:00-05:00,99973.80190290709
2025-11-24 09:55:00-05:00,99973.80190290709
2025-11-24 09:56:00-05:00,99970.43615739584
2025-11-24 09:57:00-05:00,99965.11968035657
2025-11-24 09:58:00-05:00,99965.11968035657
2025-11-24 09:59:00-05:00,99961.74978269967
2025-11-24 10:00:00-05:00,99953.4990502778
2025-11-24 10:01:00-05:00,99948.32583306407
2025-11-24 10:02:00-05:00,99948.32583306407
2025-11-24 10:03:00-05:00,99948.32583306407
2025-11-24 10:04:00-05:00,99948.32583306407
2025-11-24 10:05:00-05:00,99948.32583306407
2025-11-24 10:06:00-05:00,99948.32583306407
2025-11-24 10:07:00-05:00,99944.95061843556
2025-11-24 10:08:00-05:00,99940.82492480976
2025-11-24 10:09:00-05:00,99937.45092569213
2025-11-24 10:10:00-05:00,99934.37711817342
2025-11-24 10:11:00-05:00,99931.00529634394
2025-11-24 10:12:00-05:00,99931.38220862769
2025-11-24 10:13:00-05:00,99931.38220862769
2025-11-24 10:14:00-05:00,99928.00542431197
2025-11-24 10:15:00-05:00,99922.97830280679
2025-11-24 10:16:00-05:00,99922.97830280679
2025-11-24 10:17:00-05:00,99922.97830280679
2025-11-24 10:18:00-05:00,99919.60187297643
2025-11-24 10:19:00-05:00,99914.5014701444
2025-11-24 10:20:00-05:00,99911.7996124232
2025-11-24 10:21:00-05:00,99906.24750979626
2025-11-24 10:22:00-05:00,99906.24750979626
2025-11-24 10:23:00-05:00,99906.24750979626
2025-11-24 10:24:00-05:00,99902.87335862388
2025-11-24 10:25:00-05:00,99896.50003711725
2025-11-24 10:26:00-05:00,99896.50003711725
2025-11-24 10:27:00-05:00,99893.12355660197
2025-11-24 10:28:00-05:00,99886.14600736924
2025-11-24 10:29:00-05:00,99886.14600736924
2025-11-24 10:30:00-05:00,99886.14600736924
2025-11-24 10:31:00-05:00,99886.14600736924
2025-11-24 10:32:00-05:00,99886.14600736924
2025-11-24 10:33:00-05:00,99886.14600736924
2025-11-24 10:34:00-05:00,99882.76653953429
2025-11-24 10:35:00-05:00,99879.01653953429
2025-11-24 10:36:00-05:00,99877.28614300203
2025-11-24 10:37:00-05:00,99877.28614300203
2025-11-24 10:38:00-05:00,99873.90551065016
2025-11-24 10:39:00-05:00,99869.70507119704
2025-11-24 10:40:00-05:00,99861.81156549486
2025-11-24 10:41:00-05:00,99858.42875554581
2025-11-24 10:42:00-05:00,99852.79573556654
2025-11-24 10:43:00-05:00,99852.79573556654
2025-11-24 10:44:00-05:00,99852.79573556654
2025-11-24 10:45:00-05:00,99852.79573556654
2025-11-24 10:46:00-05:00,99849.63712315712
2025-11-24 10:47:00-05:00,99848.64818823904
2025-11-24 10:48:00-05:00,99845.48943391185
2025-11-24 10:49:00-05:00,99844.289368753
2025-11-24 10:50:00-05:00,99844.289368753
2025-11-24 10:51:00-05:00,99841.13037818464
2025-11-24 10:52:00-05:00,99836.8442870346
2025-11-24 10:53:00-05:00,99834.2761284181
2025-11-24 10:54:00-05:00,99826.48114443065
2025-11-24 10:55:00-05:00,99823.09985379296
2025-11-24 10:56:00-05:00,99822.85740918301
2025-11-24 10:57:00-05:00,99818.7875024389
2025-11-24 10:58:00-05:00,99815.40514834507
2025-11-24 10:59:00-05:00,99812.4730816496
2025-11-24 11:00:00-05:00,99812.4730816496
2025-11-24 11:01:00-05:00,99812.4730816496
2025-11-24 11:02:00-05:00,99809.31234249275
2025-11-24 11:03:00-05:00,99804.05140730769
2025-11-24 11:04:00-05:00,99804.05140730769
2025-11-24 11:05:00-05:00,99804.05140730769
2025-11-24 11:06:00-05:00,99804.05140730769
2025-11-24 11:07:00-05:00,99804.05140730769
2025-11-24 11:08:00-05:00,99804.05140730769
2025-11-24 11:09:00-05:00,99800.88678444983
2025-11-24 11:10:00-05:00,99794.9212657278
2025-11-24 11:11:00-05:00,99794.9212657278
2025-11-24 11:12:00-05:00,99794.9212657278
2025-11-24 11:13:00-05:00,99791.75669796403
2025-11-24 11:14:00-05:00,99788.31024296713
2025-11-24 11:15:00-05:00,99788.31024296713
2025-11-24 11:16:00-05:00,99788.31024296713
2025-11-24 11:17:00-05:00,99788.31024296713
2025-11-24 11:18:00-05:00,99788.31024296713
2025-11-24 11:19:00-05:00,99785.14541530922
2025-11-24 11:20:00-05:00,99784.37380886391
2025-11-24 11:21:00-05:00,99781.34933108986
2025-11-24 11:22:00-05:00,99778.18396056764
2025-11-24 11:23:00-05:00,99771.49085565878
2025-11-24 11:24:00-05:00,99771.49085565878
2025-11-24 11:25:00-05:00,99768.32723372504
2025-11-24 11:26:00-05:00,99764.11379539885
2025-11-24 11:27:00-05:00,99760.94889707051
2025-11-24 11:28:00-05:00,99757.36515622943
2025-11-24 11:29:00-05:00,99754.20134536044
2025-11-24 11:30:00-05:00,99751.73798155559
2025-11-24 11:31:00-05:00,99748.57487941012
2025-11-24 11:32:00-05:00,99744.65446925387
2025-11-24 11:33:00-05:00,99740.79360347186
2025-11-24 11:34:00-05:00,99738.6377196828
2025-11-24 11:35:00-05:00,99736.87451198162
2025-11-24 11:36:00-05:00,99736.87451198162
2025-11-24 11:37:00-05:00,99736.87451198162
2025-11-24 11:38:00-05:00,99736.87451198162
2025-11-24 11:39:00-05:00,99736.87451198162
2025-11-24 11:40:00-05:00,99736.87451198162
2025-11-24 11:41:00-05:00,99733.71018103592
2025-11-24 11:42:00-05:00,99729.28590342942
2025-11-24 11:43:00-05:00,99729.28590342942
2025-11-24 11:44:00-05:00,99729.28590342942
2025-11-24 11:45:00-05:00,99726.1196822659
2025-11-24 11:46:00-05:00,99720.26484189478
2025-11-24 11:47:00-05:00,99720.26484189478
2025-11-24 11:48:00-05:00,99720.26484189478
2025-11-24 11:49:00-05:00,99720.26484189478
2025-11-24 11:50:00-05:00,99717.10079449617
2025-11-24 11:51:00-05:00,99712.04724843189
2025-11-24 11:52:00-05:00,99712.04724843189
2025-11-24 11:53:00-05:00,99708.88244500385
2025-11-24 11:54:00-05:00,99701.62992683148
2025-11-24 11:55:00-05:00,99698.4676753273
2025-11-24 11:56:00-05:00,99696.14510609633
2025-11-24 11:57:00-05:00,99692.98417800423
2025-11-24 11:58:00-05:00,99688.85116605971
2025-11-24 11:59:00-05:00,99685.68974154386
2025-11-24 12:00:00-05:00,99681.84110873136
2025-11-24 12:01:00-05:00,99678.53734622797
2025-11-24 12:02:00-05:00,99675.37613487722
2025-11-24 12:03:00-05:00,99669.97690973622
2025-11-24 12:04:00-05:00,99669.97690973622
2025-11-24 12:05:00-05:00,99669.97690973622
2025-11-24 12:06:00-05:00,99669.97690973622
2025-11-24 12:07:00-05:00,99666.81529628512
2025-11-24 12:08:00-05:00,99664.70420823843
2025-11-24 12:09:00-05:00,99661.54448529359
2025-11-24 12:10:00-05:00,99658.31471764234
2025-11-24 12:11:00-05:00,99658.31471764234
2025-11-24 12:12:00-05:00,99658.31471764234
2025-11-24 12:13:00-05:00,99658.31471764234
2025-11-24 12:14:00-05:00,99655.15421472664
2025-11-24 12:15:00-05:00,99650.17302905147
2025-11-24 12:16:00-05:00,99647.01006882377
2025-11-24 12:17:00-05:00,99642.5162151423
2025-11-24 12:18:00-05:00,99642.5162151423
2025-11-24 12:19:00-05:00,99639.35214409074
2025-11-24 12:20:00-05:00,99635.6281917211
2025-11-24 12:21:00-05:00,99635.6281917211
2025-11-24 12:22:00-05:00,99635.6281917211
2025-11-24 12:23:00-05:00,99632.46428624027
2025-11-24 12:24:00-05:00,99629.58055958508
2025-11-24 12:25:00-05:00,99629.58055958508
2025-11-24 12:26:00-05:00,99629.58055958508
2025-11-24 12:27:00-05:00,99626.41547260995
2025-11-24 12:28:00-05:00,99624.2308190269
2025-11-24 12:29:00-05:00,99624.2308190269
2025-11-24 12:30:00-05:00,99624.2308190269
2025-11-24 12:31:00-05:00,99624.2308190269
2025-11-24 12:32:00-05:00,99621.06577935768
2025-11-24 12:33:00-05:00,99617.62141506656
2025-11-24 12:34:00-05:00,99614.45713142678
2025-11-24 12:35:00-05:00,99612.13253006022
2025-11-24 12:36:00-05:00,99608.96725386138
2025-11-24 12:37:00-05:00,99606.64308181059
2025-11-24 12:38:00-05:00,99603.47704958232
2025-11-24 12:39:00-05:00,99600.95715212138
2025-11-24 12:40:00-05:00,99596.45995973857
2025-11-24 12:41:00-05:00,99589.35403467994
2025-11-24 12:42:00-05:00,99589.35403467994
2025-11-24 12:43:00-05:00,99589.35403467994
2025-11-24 12:44:00-05:00,99589.35403467994
2025-11-24 12:45:00-05:00,99586.184743535
2025-11-24 12:46:00-05:00,99583.70953426833
2025-11-24 12:47:00-05:00,99583.70953426833
2025-11-24 12:48:00-05:00,99583.70953426833
2025-11-24 12:49:00-05:00,99583.70953426833
2025-11-24 12:50:00-05:00,99580.5400994749
2025-11-24 12:51:00-05:00,99578.44061217022
2025-11-24 12:52:00-05:00,99575.55206492596
2025-11-24 12:53:00-05:00,99572.38220466767
2025-11-24 12:54:00-05:00,99563.71344035439
2025-11-24 12:55:00-05:00,99560.54471428448
2025-11-24 12:56:00-05:00,99557.09580938892
2025-11-24 12:57:00-05:00,99553.92757945432
2025-11-24 12:58:00-05:00,99549.8155689051
2025-11-24 12:59:00-05:00,99546.42263502906
2025-11-24 13:00:00-05:00,99546.42263502906
2025-11-24 13:01:00-05:00,99546.42263502906
2025-11-24 13:02:00-05:00,99546.42263502906
2025-11-24 13:03:00-05:00,99546.42263502906
2025-11-24 13:04:00-05:00,99546.42263502906
2025-11-24 13:05:00-05:00,99546.42263502906
2025-11-24 13:06:00-05:00,99546.42263502906
2025-11-24 13:07:00-05:00,99546.42263502906
2025-11-24 13:08:00-05:00,99546.42263502906
2025-11-24 13:09:00-05:00,99546.42263502906
2025-11-24 13:10:00-05:00,99543.25230228843
2025-11-24 13:11:00-05:00,99539.24172018039
2025-11-24 13:12:00-05:00,99539.24172018039
2025-11-24 13:13:00-05:00,99536.06973317466
2025-11-24 13:14:00-05:00,99527.39458861908
2025-11-24 13:15:00-05:00,99527.39458861908
2025-11-24 13:16:00-05:00,99524.22413761364
2025-11-24 13:17:00-05:00,99520.42413845421
2025-11-24 13:18:00-05:00,99520.42413845421
2025-11-24 13:19:00-05:00,99517.25328534842
2025-11-24 13:20:00-05:00,99515.01451581717
2025-11-24 13:21:00-05:00,99507.1813222
2025-11-24 13:22:00-05:00,99504.0108475416
2025-11-24 13:23:00-05:00,99500.74740891549
2025-11-24 13:24:00-05:00,99497.64598669289
2025-11-24 13:25:00-05:00,99494.47532309924
2025-11-24 13:26:00-05:00,99492.56461001727
2025-11-24 13:27:00-05:00,99489.39422997073
2025-11-24 13:28:00-05:00,99485.3713545949
2025-11-24 13:29:00-05:00,99482.2017778837
2025-11-24 13:30:00-05:00,99477.02184624308
2025-11-24 13:31:00-05:00,99474.46049556174
2025-11-24 13:32:00-05:00,99472.00724849143
2025-11-24 13:33:00-05:00,99469.32796136061
2025-11-24 13:34:00-05:00,99466.15899904954
2025-11-24 13:35:00-05:00,99462.15035446525
2025-11-24 13:36:00-05:00,99458.98011604801
2025-11-24 13:37:00-05:00,99451.71214826561
2025-11-24 13:38:00-05:00,99451.71214826561
2025-11-24 13:39:00-05:00,99448.54215041631
2025-11-24 13:40:00-05:00,99447.18001361692
2025-11-24 13:41:00-05:00,99447.18001361692
2025-11-24 13:42:00-05:00,99447.18001361692
2025-11-24 13:43:00-05:00,99447.18001361692
