,equity
2025-11-24 09:30:00-05:00,99998.45151013216
2025-11-24 09:31:00-05:00,100002.86154431185
2025-11-24 09:32:00-05:00,100008.8118006595
2025-11-24 09:33:00-05:00,100009.1266810306
2025-11-24 09:34:00-05:00,100012.28232067903
2025-11-24 09:35:00-05:00,100013.92166394075
2025-11-24 09:36:00-05:00,100013.2214075931
2025-11-24 09:37:00-05:00,100009.02157849153
2025-11-24 09:38:00-05:00,100006.71145886263
2025-11-24 09:39:00-05:00,100003.98178356966
2025-11-24 09:40:00-05:00,100001.39139050325
2025-11-24 09:41:00-05:00,100004.54147595247
2025-11-24 09:42:00-05:00,100007.20151013216
2025-11-24 09:43:00-05:00,100002.02157849153
2025-11-24 09:44:00-05:00,99997.33169812044
2025-11-24 09:45:00-05:00,100000.20151013216
2025-11-24 09:46:00-05:00,99998.94156140169
2025-11-24 09:47:00-05:00,100003.91171521028
2025-11-24 09:48:00-05:00,100001.531527222
2025-11-24 09:49:00-05:00,99993.20279187044
2025-11-24 09:50:00-05:00,99990.33169812044
2025-11-24 09:51:00-05:00,99994.04147595247
2025-11-24 09:52:00-05:00,99997.99649304232
2025-11-24 09:53:00-05:00,100000.76162976107
2025-11-24 09:54:00-05:00,99997.12149304232
2025-11-24 09:55:00-05:00,99995.37149304232
2025-11-24 09:56:00-05:00,99999.64139050325
2025-11-24 09:57:00-05:00,100000.55142468294
2025-11-24 09:58:00-05:00,100000.83169812044
2025-11-24 09:59:00-05:00,100005.38144177278
2025-11-24 10:00:00-05:00,100009.23178356966
2025-11-24 10:01:00-05:00,100010.07174938997
2025-11-24 10:02:00-05:00,100011.54147595247
2025-11-24 10:03:00-05:00,100013.85159558138
2025-11-24 10:04:00-05:00,100013.43161267122
2025-11-24 10:05:00-05:00,100016.37149304232
2025-11-24 10:06:00-05:00,100015.39139050325
2025-11-24 10:07:00-05:00,100012.73178356966
2025-11-24 10:08:00-05:00,100012.38144177278
2025-11-24 10:09:00-05:00,100011.05142468294
2025-11-24 10:10:00-05:00,100011.19156140169
2025-11-24 10:11:00-05:00,100008.04147595247
2025-11-24 10:12:00-05:00,100009.79147595247
2025-11-24 10:13:00-05:00,100010.77157849153
2025-11-24 10:14:00-05:00,100014.90176647982
2025-11-24 10:15:00-05:00,100015.67166394075
2025-11-24 10:16:00-05:00,100015.88144177278
2025-11-24 10:17:00-05:00,100015.67166394075
2025-11-24 10:18:00-05:00,100014.41171521028
2025-11-24 10:19:00-05:00,100012.031527222
2025-11-24 10:20:00-05:00,100013.92166394075
2025-11-24 10:21:00-05:00,100014.9368006595
2025-11-24 10:22:00-05:00,100014.89108532747
2025-11-24 10:23:00-05:00,100014.41171521028
2025-11-24 10:24:00-05:00,100011.26162976107
2025-11-24 10:25:00-05:00,100009.86154431185
2025-11-24 10:26:00-05:00,100010.98178356966
2025-11-24 10:27:00-05:00,100014.48178356966
2025-11-24 10:28:00-05:00,100016.16171521028
2025-11-24 10:29:00-05:00,100015.91647595247
2025-11-24 10:30:00-05:00,100014.55142468294
2025-11-24 10:31:00-05:00,100016.09164685091
2025-11-24 10:32:00-05:00,100017.0016810306
2025-11-24 10:33:00-05:00,100016.44156140169
2025-11-24 10:34:00-05:00,100018.61154431185
2025-11-24 10:35:00-05:00,100020.36154431185
2025-11-24 10:36:00-05:00,100019.59164685091
2025-11-24 10:37:00-05:00,100018.54147595247
2025-11-24 10:38:00-05:00,100020.2214075931
2025-11-24 10:39:00-05:00,100022.18161267122
2025-11-24 10:40:00-05:00,100021.13144177278
2025-11-24 10:41:00-05:00,100023.23178356966
2025-11-24 10:42:00-05:00,100024.281527222
2025-11-24 10:43:00-05:00,100024.98178356966
2025-11-24 10:44:00-05:00,100024.5618006595
2025-11-24 10:45:00-05:00,100026.45151013216
2025-11-24 10:46:00-05:00,100025.19156140169
2025-11-24 10:47:00-05:00,100026.27676647982
2025-11-24 10:48:00-05:00,100025.40176647982
2025-11-24 10:49:00-05:00,100026.38144177278
2025-11-24 10:50:00-05:00,100026.38144177278
2025-11-24 10:51:00-05:00,100025.7516810306
2025-11-24 10:52:00-05:00,100023.7214075931
2025-11-24 10:53:00-05:00,100025.57651013216
2025-11-24 10:54:00-05:00,100024.73654431185
2025-11-24 10:55:00-05:00,100021.13144177278
2025-11-24 10:56:00-05:00,100024.07089489778
2025-11-24 10:57:00-05:00,100024.52676647982
2025-11-24 10:58:00-05:00,100022.60159558138
2025-11-24 10:59:00-05:00,100022.8118006595
2025-11-24 11:00:00-05:00,100024.0016810306
2025-11-24 11:01:00-05:00,100025.26034802278
2025-11-24 11:02:00-05:00,100028.34164685091
2025-11-24 11:03:00-05:00,100029.39139050325
2025-11-24 11:04:00-05:00,100030.09164685091
2025-11-24 11:05:00-05:00,100030.50479382357
2025-11-24 11:06:00-05:00,100031.14139050325
2025-11-24 11:07:00-05:00,100032.12021130403
2025-11-24 11:08:00-05:00,100032.40176647982
2025-11-24 11:09:00-05:00,100034.09408825716
2025-11-24 11:10:00-05:00,100032.33169812044
2025-11-24 11:11:00-05:00,100033.73178356966
2025-11-24 11:12:00-05:00,100034.99173230013
2025-11-24 11:13:00-05:00,100034.01248425325
2025-11-24 11:14:00-05:00,100033.87149304232
2025-11-24 11:15:00-05:00,100033.69674938997
2025-11-24 11:16:00-05:00,100035.13144177278
2025-11-24 11:17:00-05:00,100034.92166394075
2025-11-24 11:18:00-05:00,100035.34164685091
2025-11-24 11:19:00-05:00,100034.39743298372
2025-11-24 11:20:00-05:00,100034.01162976107
2025-11-24 11:21:00-05:00,100034.08169812044
2025-11-24 11:22:00-05:00,100035.20151013216
2025-11-24 11:23:00-05:00,100033.80142468294
2025-11-24 11:24:00-05:00,100033.94156140169
2025-11-24 11:25:00-05:00,100032.61154431185
2025-11-24 11:26:00-05:00,100032.08645886263
2025-11-24 11:27:00-05:00,100034.50210827669
2025-11-24 11:28:00-05:00,100034.71145886263
2025-11-24 11:29:00-05:00,100032.89139050325
2025-11-24 11:30:00-05:00,100033.24173230013
2025-11-24 11:31:00-05:00,100031.84164685091
2025-11-24 11:32:00-05:00,100029.88144177278
2025-11-24 11:33:00-05:00,100031.11361950716
2025-11-24 11:34:00-05:00,100032.19156140169
2025-11-24 11:35:00-05:00,100031.49173230013
2025-11-24 11:36:00-05:00,100032.26162976107
2025-11-24 11:37:00-05:00,100031.42166394075
2025-11-24 11:38:00-05:00,100031.0016810306
2025-11-24 11:39:00-05:00,100031.14139050325
2025-11-24 11:40:00-05:00,100030.86239880403
2025-11-24 11:41:00-05:00,100033.66171521028
2025-11-24 11:42:00-05:00,100034.29147595247
2025-11-24 11:43:00-05:00,100033.906527222
2025-11-24 11:44:00-05:00,100034.015902222
2025-11-24 11:45:00-05:00,100036.46145886263
2025-11-24 11:46:00-05:00,100034.64139050325
2025-11-24 11:47:00-05:00,100034.43161267122
2025-11-24 11:48:00-05:00,100035.27157849153
2025-11-24 11:49:00-05:00,100034.35599011263
2025-11-24 11:50:00-05:00,100033.24173230013
2025-11-24 11:51:00-05:00,100032.29666394075
2025-11-24 11:52:00-05:00,100031.56094616732
2025-11-24 11:53:00-05:00,100034.36154431185
2025-11-24 11:54:00-05:00,100033.24173230013
2025-11-24 11:55:00-05:00,100030.58169812044
2025-11-24 11:56:00-05:00,100031.0016810306
2025-11-24 11:57:00-05:00,100028.62149304232
2025-11-24 11:58:00-05:00,100025.01854527093
2025-11-24 11:59:00-05:00,100023.7970486889
2025-11-24 12:00:00-05:00,100021.87273228265
2025-11-24 12:01:00-05:00,100021.80223667718
2025-11-24 12:02:00-05:00,100024.11278355218
2025-11-24 12:03:00-05:00,100025.2321683178
2025-11-24 12:04:00-05:00,100025.16209995843
2025-11-24 12:05:00-05:00,100025.57652866936
2025-11-24 12:06:00-05:00,100026.00206577874
2025-11-24 12:07:00-05:00,100023.51720249749
2025-11-24 12:08:00-05:00,100024.04228794671
2025-11-24 12:09:00-05:00,100026.31737339593
2025-11-24 12:10:00-05:00,100026.35240757561
2025-11-24 12:11:00-05:00,100025.8273221264
2025-11-24 12:12:00-05:00,100026.91209995843
2025-11-24 12:13:00-05:00,100026.21227085686
2025-11-24 12:14:00-05:00,100025.16209995843
2025-11-24 12:15:00-05:00,100024.25206577874
2025-11-24 12:16:00-05:00,100021.52239048577
2025-11-24 12:17:00-05:00,100020.8571683178
2025-11-24 12:18:00-05:00,100021.24211704827
2025-11-24 12:19:00-05:00,100019.87706577874
2025-11-24 12:20:00-05:00,100019.59721958733
2025-11-24 12:21:00-05:00,100019.56218540765
2025-11-24 12:22:00-05:00,100019.07213413811
2025-11-24 12:23:00-05:00,100015.44230295195
2025-11-24 12:24:00-05:00,100013.88225560906
2025-11-24 12:25:00-05:00,100014.44237523797
2025-11-24 12:26:00-05:00,100013.81218724968
2025-11-24 12:27:00-05:00,100015.49211889031
2025-11-24 12:28:00-05:00,100015.00206762078
2025-11-24 12:29:00-05:00,100015.11144262078
2025-11-24 12:30:00-05:00,100015.28234105828
2025-11-24 12:31:00-05:00,100015.84203344109
2025-11-24 12:32:00-05:00,100015.42205053093
2025-11-24 12:33:00-05:00,100015.28234105828
2025-11-24 12:34:00-05:00,100014.30223851922
2025-11-24 12:35:00-05:00,100014.72222142937
2025-11-24 12:36:00-05:00,100015.77239232781
2025-11-24 12:37:00-05:00,100015.35198217156
2025-11-24 12:38:00-05:00,100016.89220433953
2025-11-24 12:39:00-05:00,100018.15215307
2025-11-24 12:40:00-05:00,100020.4007492614
2025-11-24 12:41:00-05:00,100019.20232396843
2025-11-24 12:42:00-05:00,100019.67272191765
2025-11-24 12:43:00-05:00,100019.34203344109
2025-11-24 12:44:00-05:00,100020.11235814812
2025-11-24 12:45:00-05:00,100021.71923070672
2025-11-24 12:46:00-05:00,100021.37230687859
2025-11-24 12:47:00-05:00,100021.58208471062
2025-11-24 12:48:00-05:00,100022.07213598015
2025-11-24 12:49:00-05:00,100022.70061498406
2025-11-24 12:50:00-05:00,100021.9319992614
2025-11-24 12:51:00-05:00,100020.88225560906
2025-11-24 12:52:00-05:00,100021.02239232781
2025-11-24 12:53:00-05:00,100022.56218724968
2025-11-24 12:54:00-05:00,100022.14220433953
2025-11-24 12:55:00-05:00,100020.88225560906
2025-11-24 12:56:00-05:00,100020.74211889031
2025-11-24 12:57:00-05:00,100020.14739232781
2025-11-24 12:58:00-05:00,100021.26036840203
2025-11-24 12:59:00-05:00,100021.37230687859
2025-11-24 13:00:00-05:00,100021.79228978875
2025-11-24 13:01:00-05:00,100022.42205053093
2025-11-24 13:02:00-05:00,100022.84203344109
2025-11-24 13:03:00-05:00,100023.61235814812
2025-11-24 13:04:00-05:00,100023.35686498406
2025-11-24 13:05:00-05:00,100023.61235814812
2025-11-24 13:06:00-05:00,100023.43718724968
2025-11-24 13:07:00-05:00,100022.98217015984
2025-11-24 13:08:00-05:00,100023.05223851922
2025-11-24 13:09:00-05:00,100022.49211889031
2025-11-24 13:10:00-05:00,100023.26201635125
2025-11-24 13:11:00-05:00,100023.6819992614
2025-11-24 13:12:00-05:00,100024.3113327575
2025-11-24 13:13:00-05:00,100025.7122726989
2025-11-24 13:14:00-05:00,100025.29228978875
2025-11-24 13:15:00-05:00,100025.15215307
2025-11-24 13:16:00-05:00,100023.43718724968
2025-11-24 13:17:00-05:00,100023.12230687859
2025-11-24 13:18:00-05:00,100022.98217015984
2025-11-24 13:19:00-05:00,100024.03276830437
2025-11-24 13:20:00-05:00,100025.15215307
2025-11-24 13:21:00-05:00,100024.31218724968
2025-11-24 13:22:00-05:00,100023.47222142937
2025-11-24 13:23:00-05:00,100025.01201635125
2025-11-24 13:24:00-05:00,100024.97698217156
2025-11-24 13:25:00-05:00,100023.75206762078
2025-11-24 13:26:00-05:00,100024.38225560906
2025-11-24 13:27:00-05:00,100023.33208471062
2025-11-24 13:28:00-05:00,100022.90569310906
2025-11-24 13:29:00-05:00,100022.14220433953
2025-11-24 13:30:00-05:00,100019.55223851922
2025-11-24 13:31:00-05:00,100021.44066625359
2025-11-24 13:32:00-05:00,100022.66728978875
2025-11-24 13:33:00-05:00,100022.42205053093
2025-11-24 13:34:00-05:00,100021.23217015984
2025-11-24 13:35:00-05:00,100017.68747896038
2025-11-24 13:36:00-05:00,100015.37735933147
2025-11-24 13:37:00-05:00,100016.49759858928
2025-11-24 13:38:00-05:00,100017.0226840385
2025-11-24 13:39:00-05:00,100015.73368257366
2025-11-24 13:40:00-05:00,100016.63730806194
2025-11-24 13:41:00-05:00,100016.28739351116
2025-11-24 13:42:00-05:00,100015.93747896038
2025-11-24 13:43:00-05:00,100015.65763276897
2025-11-24 13:44:00-05:00,100015.51749605022
2025-11-24 13:45:00-05:00,100015.72727388225
2025-11-24 13:46:00-05:00,100016.56766694866
2025-11-24 13:47:00-05:00,100017.0572909721
2025-11-24 13:48:00-05:00,100015.13254731975
2025-11-24 13:49:00-05:00,100015.867410601
2025-11-24 13:50:00-05:00,100015.5875644096
2025-11-24 13:51:00-05:00,100015.23764985881
2025-11-24 13:52:00-05:00,100015.44742769084
2025-11-24 13:53:00-05:00,100015.3072909721
2025-11-24 13:54:00-05:00,100014.3976840385
2025-11-24 13:55:00-05:00,100009.98746198489
2025-11-24 13:56:00-05:00,100008.42425736708
